vel_x_norm,vel_y_norm,vel_x_max,vel_y_max
0.30026275,0.049167022,0.7146641,0.33024138
0.45588344,0.08198723,1.0365237,0.5236756
0.39123678,0.0693826,0.9379266,0.43926474
0.4841674,0.07476448,1.218293,0.5482623
0.3751776,0.06390831,0.84898025,0.40683538
0.85092276,0.15673558,2.001296,1.0271815
0.4920381,0.09290084,1.2029223,0.61231667
0.36455077,0.0560246,0.79006076,0.34227392
0.42222777,0.0899262,1.0285772,0.6322484
0.33370435,0.05888877,0.99756265,0.44179225
0.7080488,0.11839396,1.4774415,0.7520994
1.0310321,0.19083638,2.207146,1.1710663
0.23391458,0.039065506,0.57756966,0.27869007
0.24826314,0.04273434,0.6353515,0.2852151
0.22716506,0.036702197,0.5419016,0.2482627
0.37505403,0.06976441,0.8359498,0.43489498
0.38432446,0.07663443,1.023158,0.65630496
0.553394,0.1091932,1.4026225,0.6474353
0.57446563,0.093240365,1.3392164,0.62547296
0.553957,0.08912937,1.1886308,0.5374591
0.4805518,0.0891301,1.1668781,0.55943346
0.37102214,0.055891972,0.9111088,0.41005355
0.5951508,0.10947493,1.3838482,0.7041073
0.49532208,0.0825536,1.0654414,0.5020449
0.66136336,0.1264661,1.498676,0.784398
0.89401734,0.15129426,1.9015337,1.061695
1.0441918,0.20634499,2.331816,1.2431929
0.56508684,0.09306718,1.4006728,0.69445646
0.7508634,0.13822076,1.6396879,0.8618072
0.6251819,0.09538481,1.35668,0.6253124
0.34364468,0.051830575,0.7421119,0.32720265
0.18023255,0.02872473,0.39215806,0.17352268
0.69117206,0.115980126,1.6291995,0.85161394
0.40786803,0.06883089,0.89160144,0.43284118
0.6294128,0.11640259,1.7278725,0.80464345
0.5670585,0.07878478,1.4806292,0.64493805
0.5557713,0.10160491,1.212737,0.6385715
0.2650929,0.039929017,0.58580023,0.26648363
0.40948534,0.059622724,0.86804575,0.37783632
0.60150594,0.086265944,1.4932315,0.6706228
0.690573,0.13295536,1.5821064,0.78957057
0.5321166,0.093215406,1.138835,0.5778945
0.34622023,0.049451016,0.76383644,0.3300043
0.49046567,0.069349,1.0229273,0.45552295
0.61568236,0.094686225,1.3023212,0.65864056
0.3179959,0.05097051,0.6891082,0.2992741
0.79477376,0.13123272,2.1515565,1.0433397
0.71830875,0.13332136,1.6237566,0.79698235
0.29159647,0.046829563,0.6107598,0.27380297
0.29756624,0.046665095,0.64355654,0.27546835
0.7914518,0.15430778,1.7815049,0.9297829
1.0958635,0.19730891,2.7621026,1.215881
0.82824546,0.15440124,1.7911596,0.9221235
0.7508919,0.13622408,1.8462719,0.90853643
0.7626168,0.11599708,1.7964796,0.8314036
0.81085217,0.140412,1.7957568,0.9850322
0.6823929,0.10224658,1.4457071,0.61867845
1.2903688,0.18447319,4.2555666,1.5517225
0.33847392,0.061736062,0.7385924,0.38369304
1.294814,0.27089003,2.9814687,1.6231048
1.0434605,0.20275706,2.2871678,1.1993303
0.79698324,0.14540392,1.8231727,0.8895157
0.85873246,0.12240446,1.7512867,0.7500183
1.1535574,0.17493713,2.393707,1.2120167
0.80779195,0.14419316,1.9164836,0.98356354
1.0519482,0.19831118,2.2446058,1.1954226
0.8220022,0.15170538,1.7735442,0.8888389
0.9926611,0.14318891,2.1071105,0.9655626
0.91059643,0.15785165,1.8887355,0.9847003
0.9196344,0.16891891,2.267937,1.1226499
0.84003836,0.1583012,1.9121262,1.1157068
0.9577769,0.16259779,2.202347,1.1646961
1.2258384,0.20388414,2.8431685,1.3311371
0.9484596,0.16821256,2.1338475,1.0224066
0.87910175,0.1394089,1.8656467,0.92359406
1.1520293,0.19137757,2.3892527,1.1488279
1.2434121,0.18966103,2.7600281,1.3165501
1.0880083,0.20905212,2.5602489,1.3417944
1.1511871,0.17359692,2.4027054,1.1687511
0.8969321,0.15591992,1.8425694,0.94837826
0.6655929,0.118411854,1.4311368,0.6932783
0.20205683,0.029960584,0.48509178,0.21864644
0.92746866,0.17513296,2.0240536,1.0233752
1.0346786,0.20983772,2.6611993,1.4468869
0.94900566,0.22908163,2.374475,1.4051207
1.2410269,0.2435804,2.7812862,1.3942168
0.63234615,0.10551948,1.3297249,0.6458203
1.0925543,0.20959844,2.3973582,1.2042934
1.1426827,0.2219644,2.4377806,1.295696
1.269979,0.24021168,2.6618898,1.4111192
1.268765,0.24959624,2.811495,1.4408875
1.2953892,0.2693903,2.9279423,1.639603
1.1224349,0.19816953,2.5392647,1.2520733
0.9881835,0.18023609,2.072654,1.0890784
1.1204474,0.27006176,2.8173075,1.8645834
1.2225174,0.20079936,2.5722156,1.1738049
0.96426165,0.19273664,2.1693187,1.122048
1.3466561,0.19788,3.8065453,1.5656918
1.1412916,0.24871221,2.9360425,1.7699354
0.84830123,0.15746258,2.0985591,0.966882
0.37426823,0.06745894,0.90605617,0.44664052
0.77017474,0.12769683,1.8187165,0.9211728
0.947749,0.16606024,2.158685,1.0365171
0.97585416,0.16050316,2.065014,1.1058878
0.7171496,0.13207299,1.5556983,0.83241856
0.407557,0.08542476,1.0289989,0.5905994
0.6983555,0.12983382,1.4974982,0.78892535
0.8232529,0.16102134,1.8500639,0.9519054
0.7743807,0.11469057,1.7231148,0.81775045
0.19150436,0.03669761,0.49373782,0.2513048
0.4054975,0.064890206,0.87026304,0.41222143
0.20278452,0.036044564,0.5028475,0.23016247
0.57722247,0.08870033,1.291731,0.60632414
0.9496559,0.17504993,2.0336335,1.0428866
0.2580722,0.04481556,0.5639729,0.27614936
0.77917314,0.13809136,1.855067,0.87849784
0.28319559,0.045836944,0.6009116,0.25680968
0.25438702,0.040522188,0.59663314,0.27948025
0.42934424,0.0875942,1.4355842,0.5886018
1.0272846,0.18756397,2.3064787,1.310278
0.7169694,0.12220511,1.6408556,0.77608055
0.271383,0.04846484,0.6387232,0.30586168
0.49230862,0.091173284,1.1193303,0.5889437
0.73076254,0.11377894,1.480097,0.6382725
0.2544804,0.041604657,0.5698583,0.26303723
0.32836035,0.0531527,0.81081295,0.3698177
0.20303215,0.039401058,0.5100226,0.3164119
0.6684855,0.11330707,1.588925,0.8292317
0.51820695,0.08411183,1.0886478,0.5075771
0.4861327,0.08489207,1.3890517,0.56975263
1.0963137,0.18137874,2.303826,1.1958001
0.5096884,0.093179576,1.1837516,0.5846881
0.89422864,0.14049606,1.9046292,0.9421001
0.94208026,0.15625185,2.2503657,1.0585494
0.5230389,0.07817984,1.0968761,0.52155715
1.1313034,0.20913768,2.6677415,1.2781397
0.7250273,0.12913533,1.8770869,0.80672705
1.1957855,0.20398167,3.035489,1.3785101
0.66215086,0.10365393,1.3961895,0.61167514
0.60914314,0.10281394,1.4519773,0.6763837
0.83116776,0.15918444,1.9985124,0.99265105
0.7053224,0.11941763,1.822751,0.8762476
1.0516948,0.17637852,2.127453,1.0618207
0.51755047,0.08678827,1.073863,0.49399418
1.0228695,0.17253557,2.6693301,1.1876986
0.695948,0.13201188,1.5544062,0.81780183
0.5615179,0.11197077,1.3436594,0.77282214
1.0214926,0.20035738,2.4326756,1.2923107
0.6776674,0.11050917,1.8046972,0.76470274
1.0863003,0.1979428,2.5349162,1.349432
1.149723,0.19690168,2.4260242,1.1661592
0.68422353,0.10958025,1.4023657,0.63427496
0.8427563,0.13923815,1.7018881,0.8367706
0.894637,0.15496187,1.8826902,0.96345246
0.926205,0.1523981,1.900695,0.90630436
0.9896395,0.17299318,2.1087875,1.1534771
0.49357754,0.07613381,1.0685586,0.49731693
0.5403763,0.08756821,1.1320356,0.55522746
0.8372073,0.1467474,1.7663268,0.9339193
0.811847,0.15055735,1.7653894,0.8947521
0.48027262,0.070913106,1.0228941,0.48912746
0.8366045,0.11949728,1.9046111,0.88771605
0.9617037,0.15563107,2.1818674,1.0411705
1.0848011,0.19409342,2.4980009,1.3529708
0.7660074,0.12113858,1.6600425,0.8067409
1.0364825,0.20714238,2.3384504,1.2145439
0.8236023,0.13138165,1.6696993,0.82103944
0.5362218,0.10101047,1.2945726,0.64828473
1.3266912,0.26579535,3.0565314,1.769658
0.5080411,0.077967115,1.1347162,0.53045565
1.1031263,0.21912172,2.4029658,1.2897847
1.2566965,0.21100873,2.7549508,1.3763479
1.037883,0.16899815,2.148021,1.1565703
0.7927636,0.11655348,1.6767827,0.78824276
0.90810144,0.18696725,2.194749,1.3296971
0.1766026,0.023526981,0.3730637,0.15468083
0.73772985,0.13041581,1.6070517,0.77928424
0.4909086,0.07611212,1.3922025,0.59125656
1.241611,0.20944627,2.679326,1.4112494
0.7225681,0.13850941,1.5674902,0.87125754
1.1493977,0.26690903,2.6795266,1.6277794
0.6842421,0.12858087,1.6473684,0.90664333
0.6033583,0.09350742,1.4026877,0.64678705
1.1762294,0.23705316,2.6323879,1.4066936
1.15787,0.22340845,2.6097732,1.3610456
0.98625475,0.18728715,2.1086285,1.1459872
0.75298595,0.14520486,1.938516,1.0930688
1.2672459,0.21537884,2.5919368,1.3625746
1.1362362,0.23292367,2.6917126,1.6267724
1.2158239,0.23586385,2.6675956,1.4540727
1.2619348,0.21917816,2.6191273,1.2891742
0.9905056,0.17437,2.3354797,1.2134265
0.70938605,0.13998681,1.7870908,0.93274623
