0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0114177229070265e-07,1.240496345644715e-07,3.9465994916554337e-08,4.6047013313454954e-08,7.353403930210334e-08,1.064089190094819e-07,6.479994141272982e-08,7.28381834846914e-08
3.6062849062545865e-07,4.32306023867568e-07,1.4932477654383547e-07,1.7360109438868676e-07,2.777125018837978e-07,3.8662184920212894e-07,2.42072786704739e-07,2.749277143720974e-07
7.385821163552464e-07,8.653699410388072e-07,3.1915004683469306e-07,3.701066759731475e-07,5.926399353484157e-07,7.96371921296668e-07,5.118593549013895e-07,5.872197448297811e-07
1.2147593224653974e-06,1.4022839422977995e-06,5.412553036876488e-07,6.265890988288447e-07,1.0033056696556741e-06,1.3066517112747533e-06,8.615287470092881e-07,9.96513904283347e-07
1.7762010884325719e-06,2.0434288217074936e-06,8.102305173451896e-07,9.367582265440433e-07,1.4981294498284115e-06,1.9003118723048829e-06,1.2834219660362578e-06,1.4941097106202506e-06
2.415217068119091e-06,2.7946880436502397e-06,1.1225359912714339e-06,1.29638635826268e-06,2.0681670775957173e-06,2.5688282221381087e-06,1.7734744233166566e-06,2.074172016364173e-06
3.1300614864449017e-06,3.659512685771915e-06,1.4760609019504045e-06,1.7027653029799694e-06,2.7063683774031233e-06,3.3078736123570707e-06,2.329068593098782e-06,2.732908342295559e-06
3.922449650417548e-06,4.625453584594652e-06,1.869793436526379e-06,2.1542962258536136e-06,3.406940322747687e-06,4.1154144128086045e-06,2.946348104160279e-06,3.4673539630603045e-06
4.7795801947358996e-06,5.682218670699513e-06,2.30358477892878e-06,2.6501058982830727e-06,4.164743131696014e-06,4.989992248738417e-06,3.62137188858469e-06,4.274876118870452e-06
5.684885763912462e-06,6.835095064161578e-06,2.7779196898336522e-06,3.1898011911835056e-06,4.975275260221679e-06,5.9291592151566874e-06,4.350899871496949e-06,5.153242909727851e-06
6.6309389694652054e-06,8.08011827757582e-06,3.2935975013970165e-06,3.773226126213558e-06,5.834816874994431e-06,6.928502898517763e-06,5.131530087965075e-06,6.100000973674469e-06
7.624180398124736e-06,9.433660125068855e-06,3.8512198443640955e-06,4.400328180054203e-06,6.7400073930912185e-06,7.982518582139164e-06,5.9561948546615895e-06,7.113171704986598e-06
8.674528544361237e-06,1.0904255759669468e-05,4.449801053851843e-06,5.070876341051189e-06,7.687771358177997e-06,9.08647143660346e-06,6.824787760706386e-06,8.192309906007722e-06
9.79347441898426e-06,1.247062118636677e-05,5.089108071842929e-06,5.784730092273094e-06,8.674973287270404e-06,1.0235190529783722e-05,7.736087354714982e-06,9.334663445770275e-06
1.0993057912855875e-05,1.4110026313574053e-05,5.768570190411992e-06,6.54183986625867e-06,9.698620488052256e-06,1.1426369383116253e-05,8.671101568324957e-06,1.0536183253861964e-05
1.2281549061299302e-05,1.5830744814593345e-05,6.487172413471853e-06,7.341916898440104e-06,1.075567433872493e-05,1.2662265362450853e-05,9.618568583391607e-06,1.179426362796221e-05
1.3658517673320603e-05,1.762742795108352e-05,7.243731943162857e-06,8.184695616364479e-06,1.1843480933748651e-05,1.3941995348432101e-05,1.0584908523014747e-05,1.3108784514770377e-05
1.5122560398594942e-05,1.9481198251014575e-05,8.037449333642144e-06,9.069862244359683e-06,1.2960294043296017e-05,1.5265033653122373e-05,1.1577743862289935e-05,1.448229613743024e-05
1.6664260328980163e-05,2.1385028958320618e-05,8.86776797415223e-06,9.997150300478097e-06,1.4105451555224136e-05,1.6631553080515005e-05,1.2603614777617622e-05,1.5918329154374078e-05
1.8272387023898773e-05,2.3350163246504962e-05,9.734421837492846e-06,1.0966392437694594e-05,1.527889253338799e-05,1.804208295652643e-05,1.3667846360476688e-05,1.741854975989554e-05
1.994503691093996e-05,2.5405397536815144e-05,1.0637806553859264e-05,1.1977620488323737e-05,1.6481308193760924e-05,1.9499171685311012e-05,1.4771923815715127e-05,1.897777838166803e-05
2.168382161471527e-05,2.7560665330383927e-05,1.1579106285353191e-05,1.3031193702772725e-05,1.77141137100989e-05,2.1008158000768162e-05,1.5914552932372317e-05,2.0580047930707224e-05
2.349312671867665e-05,2.9790428015985526e-05,1.2560085451696068e-05,1.4127854228718206e-05,1.8979482774739154e-05,2.257094092783518e-05,1.7091242625610903e-05,2.2215603166841902e-05
2.5381968953297473e-05,3.207875124644488e-05,1.3582632163888775e-05,1.526883352198638e-05,2.0280702301533893e-05,2.419298471068032e-05,1.829114626161754e-05,2.3882479581516236e-05
2.73523783107521e-05,3.440299042267725e-05,1.4648539035988506e-05,1.6456137018394656e-05,2.162269811378792e-05,2.5879246095428243e-05,1.950596742972266e-05,2.5584622562746517e-05
2.940670856332872e-05,3.676856431411579e-05,1.575975511514116e-05,1.7692667825031094e-05,2.3011498342384584e-05,2.763187512755394e-05,2.073831819870975e-05,2.733141627686564e-05
3.15596153086517e-05,3.9189217204693705e-05,1.691832767392043e-05,1.8982349502039142e-05,2.4453796868328936e-05,2.9458780772984028e-05,2.20043020817684e-05,2.913415119110141e-05
3.384394949534908e-05,4.1702540329424664e-05,1.812652772059664e-05,2.0330400730017573e-05,2.5956907848012634e-05,3.1375275284517556e-05,2.332225449208636e-05,3.100451431237161e-05
3.629663115134463e-05,4.4378091843100265e-05,1.938827699632384e-05,2.1743757315562107e-05,2.7528756618266925e-05,3.340743205626495e-05,2.4714696337468922e-05,3.2955977076198906e-05
