0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.769738382037758e-08,8.734123468912003e-08,1.1726255877420044e-07,9.226594244182706e-08,6.989342438146195e-08,7.14890759923037e-08,9.678596768480929e-08,8.327517520001493e-08
1.801961673209007e-07,3.2610054745418893e-07,4.1960447560995817e-07,3.405338588891027e-07,2.5859839070108137e-07,2.716564893034956e-07,3.5434828760116943e-07,3.0821624363852607e-07
3.843611580123252e-07,6.854630782981985e-07,8.590276934228314e-07,7.12362577814929e-07,5.415416239884507e-07,5.834227749801357e-07,7.384035711766046e-07,6.460478516601142e-07
6.503554459413863e-07,1.1478930446173763e-06,1.4117086948317592e-06,1.1860930726470542e-06,9.026836664816074e-07,9.940818017639685e-07,1.2278218264327734e-06,1.0766688092189725e-06
9.70954943113611e-07,1.6968604086287087e-06,2.0666559521487216e-06,1.7498609850008506e-06,1.331720341113396e-06,1.4941051631467417e-06,1.8084731436829315e-06,1.5859907307458343e-06
1.340822336715064e-06,2.3191373657027725e-06,2.818314897012897e-06,2.396098352619447e-06,1.8217817796539748e-06,2.076080818369519e-06,2.4712533104320755e-06,2.16394118979224e-06
1.7559393654664746e-06,3.00452416013286e-06,3.6640508369600866e-06,3.119378561677877e-06,2.3680659069214016e-06,2.734360123213264e-06,3.210198428860167e-06,2.8030558496539015e-06
2.2133449419925455e-06,3.744824425666593e-06,4.60879573438433e-06,3.918804850400193e-06,2.965815610878053e-06,3.46444562637771e-06,4.018876097688917e-06,3.4975705602846574e-06
2.7110479550174205e-06,4.533205810730578e-06,5.662599960487569e-06,4.794223514181795e-06,3.6115523016633233e-06,4.262115908204578e-06,4.891699063591659e-06,4.242557679390302e-06
3.2478844786965055e-06,5.364091066439869e-06,6.825729997217422e-06,5.746907845605165e-06,4.302989054849604e-06,5.12348378833849e-06,5.825484095112188e-06,5.034289642935619e-06
3.82330017600907e-06,6.23335336058517e-06,8.083379725576378e-06,6.7789715103572235e-06,5.038087238062872e-06,6.0451607168943156e-06,6.81836718285922e-06,5.87003842156264e-06
4.437120878719725e-06,7.137764441722538e-06,9.438025699637365e-06,7.883667421992868e-06,5.812561084894696e-06,7.025732429610798e-06,7.86817599873757e-06,6.747583483956987e-06
5.0890516831714194e-06,8.074605830188375e-06,1.0891129022638779e-05,9.054233487404417e-06,6.626828962907894e-06,8.065348083619028e-06,8.976134267868474e-06,7.66449375078082e-06
5.778812010248657e-06,9.041938028531149e-06,1.2439740203262772e-05,1.0288926205248572e-05,7.481666216335725e-06,9.161328307527583e-06,1.0142181963601615e-05,8.617987077741418e-06
6.506332738354104e-06,1.003791930997977e-05,1.4064418792258948e-05,1.1588591405597981e-05,8.365347639482934e-06,1.03094598671305e-05,1.136495302489493e-05,9.605233572074212e-06
7.271632057381794e-06,1.1060202268708963e-05,1.5758889276185073e-05,1.2956011232745368e-05,9.269210750062484e-06,1.1506662303872872e-05,1.2648854863073211e-05,1.0623452908475883e-05
8.074817742453888e-06,1.2106594112992752e-05,1.7531820049043745e-05,1.4392259799933527e-05,1.0198134077654686e-05,1.2751482245221268e-05,1.399488883180311e-05,1.1670053027046379e-05
8.916001206671353e-06,1.317535679845605e-05,1.937334491231013e-05,1.5893949239398353e-05,1.1156321306771133e-05,1.4045971511222888e-05,1.540108678454999e-05,1.2742617400363088e-05
9.795357982511632e-06,1.4265689969761297e-05,2.1271509467624128e-05,1.745526969898492e-05,1.2144831998739392e-05,1.5394343790831044e-05,1.686293035163544e-05,1.3839235180057585e-05
1.071305996447336e-05,1.5377783711301163e-05,2.325819878024049e-05,1.9069722839049064e-05,1.3164006304577924e-05,1.6799107470433228e-05,1.8373215425526723e-05,1.4958273823140189e-05
1.1669491868815385e-05,1.6512394722667523e-05,2.5358342099934816e-05,2.072063034574967e-05,1.4212332644092385e-05,1.8256161638419144e-05,1.9927940229536034e-05,1.609883111086674e-05
1.2665410395129584e-05,1.7670425222604536e-05,2.7544847398530692e-05,2.2394156985683367e-05,1.5287452697521076e-05,1.975113082153257e-05,2.1527568605961278e-05,1.726076334307436e-05
1.370204881823156e-05,1.885396159195807e-05,2.9802984499838203e-05,2.4085145923891105e-05,1.6386276911362074e-05,2.1275394828990102e-05,2.3168044208432548e-05,1.844500729930587e-05
1.478110789321363e-05,2.006546492339112e-05,3.214495882275514e-05,2.5792847736738622e-05,1.7499705791124143e-05,2.282767127326224e-05,2.4848814064171165e-05,1.96543442143593e-05
1.5904895917628892e-05,2.1307976567186415e-05,3.4560296626295894e-05,2.7520312869455665e-05,1.8620725313667208e-05,2.4412300263065845e-05,2.6572852220851928e-05,2.0893887267448008e-05
1.707619594526477e-05,2.258451968373265e-05,3.7070403777761385e-05,2.927618334069848e-05,1.975411214516498e-05,2.6038407668238506e-05,2.834180668287445e-05,2.217062865383923e-05
1.8298282157047652e-05,2.389930341450963e-05,3.966855729231611e-05,3.1067942472873256e-05,2.0918041627737693e-05,2.7716034310287796e-05,3.016621121787466e-05,2.3492420950788073e-05
1.957519634743221e-05,2.525779746065382e-05,4.237968096276745e-05,3.291018947493285e-05,2.2131715013529174e-05,2.945481173810549e-05,3.206478140782565e-05,2.4867524189176038e-05
2.0912220861646347e-05,2.6666486519388855e-05,4.529520447249524e-05,3.4838332794606686e-05,2.3419455828843638e-05,3.126560477539897e-05,3.406897303648293e-05,2.6305071514798328e-05
