0,1,2,3
0.0,0.0,0.0,0.0
2.6649713547044485e-08,3.5314997148816474e-08,3.2106772351880863e-08,2.810967281163812e-08
9.379544252396954e-08,1.1502964269993754e-07,1.1370378416586391e-07,1.0179522291764442e-07
1.8821070568719733e-07,2.212607626006502e-07,2.326076753433881e-07,2.0953812907009706e-07
3.0238092563195096e-07,3.4841016827158455e-07,3.8196765217435313e-07,3.439415081629704e-07
4.315946569022344e-07,4.930442969452997e-07,5.571574774876353e-07,5.003316800866742e-07
5.734635806220467e-07,6.54827317703166e-07,7.563756412309885e-07,6.759170219083899e-07
7.2742773227219e-07,8.369892725568207e-07,9.80273398454301e-07,8.689107175996469e-07
8.926990062718687e-07,1.0412767323941807e-06,1.2309565136092715e-06,1.0777807801787276e-06
1.0686221685318742e-06,1.259697796740511e-06,1.5112123037397396e-06,1.3013905117986724e-06
1.2551287227324792e-06,1.4865370303596137e-06,1.8223919369120267e-06,1.5389904319818015e-06
1.4517984254780458e-06,1.7217904542121687e-06,2.1636253677570494e-06,1.7899504882734618e-06
1.6561136817472288e-06,1.9708938907569973e-06,2.5337687930004904e-06,2.0536119791358942e-06
1.8683557527765515e-06,2.238884917460382e-06,2.9328314212762052e-06,2.3290790522878524e-06
2.088946075673448e-06,2.528240656829439e-06,3.3626706681388896e-06,2.615277026052354e-06
2.315766323590651e-06,2.837944521161262e-06,3.826879947155248e-06,2.9111311050655786e-06
2.5480885597062297e-06,3.169084266119171e-06,4.326231191953411e-06,3.2153723168448778e-06
2.790533471852541e-06,3.5218724860897055e-06,4.853874088439625e-06,3.526240789142321e-06
3.0451378734142054e-06,3.895438112522243e-06,5.3989310799806844e-06,3.841764282697113e-06
3.3123833418358117e-06,4.287579486117465e-06,5.956832410447532e-06,4.160231128480518e-06
3.5914908949052915e-06,4.6944551286287606e-06,6.5298258959956e-06,4.480043116927845e-06
3.881177235598443e-06,5.115820385981351e-06,7.116059350664727e-06,4.799823727807961e-06
4.180059477221221e-06,5.555296411330346e-06,7.712880687904544e-06,5.118816261528991e-06
4.48542687081499e-06,6.015579856466502e-06,8.317153515235987e-06,5.436572337202961e-06
4.788563273905311e-06,6.49825642540236e-06,8.927584531193133e-06,5.753324785473524e-06
5.081709332444007e-06,7.004579856584314e-06,9.548108209855855e-06,6.0699380810547154e-06
5.365287961467402e-06,7.535110853496008e-06,1.0176192517974414e-05,6.387589564837981e-06
5.649456397804897e-06,8.091659765341319e-06,1.0801650205394253e-05,6.7070996010443196e-06
5.941896688455017e-06,8.673764568811748e-06,1.141375832958147e-05,7.028936124697793e-06
6.245599706744542e-06,9.271554517908953e-06,1.2009116289846133e-05,7.35312869437621e-06
6.561535428772913e-06,9.87219755188562e-06,1.2587716810230631e-05,7.679084774281364e-06
6.889082669658819e-06,1.0465676496096421e-05,1.3147438039595727e-05,8.005890776985325e-06
7.227352853078628e-06,1.1057862138841301e-05,1.3686318197869696e-05,8.333079676958732e-06
7.575716608698713e-06,1.1666783393593505e-05,1.4201431440596934e-05,8.660938874527346e-06
7.934692803246435e-06,1.2307332326599862e-05,1.4694594028696883e-05,8.989867637865245e-06
8.305698429467157e-06,1.2980763131054118e-05,1.5156721929088235e-05,9.31910199142294e-06
8.69086852617329e-06,1.3677527022082359e-05,1.560387318022549e-05,9.648276318330318e-06
9.09430946194334e-06,1.4385435861186124e-05,1.6036075976444408e-05,9.97716597339604e-06
9.521369975118432e-06,1.5093274669197854e-05,1.645001430006232e-05,1.0306149306416046e-05
9.975670764106326e-06,1.5795487342984416e-05,1.6853333363542333e-05,1.063631225406425e-05
1.0454183211550117e-05,1.6486865206388757e-05,1.725357651594095e-05,1.0969146387651563e-05
1.095043080567848e-05,1.7150930943898857e-05,1.7655655028647743e-05,1.1305549378448632e-05
1.14619442683761e-05,1.7786340322345495e-05,1.8065939002553932e-05,1.1645814083749428e-05
1.1984336197201628e-05,1.839981268858537e-05,1.847640123742167e-05,1.1989636732323561e-05
1.2506087841757108e-05,1.8992612240253948e-05,1.8888518752646632e-05,1.2336279723967891e-05
1.3016424418310635e-05,1.956904998223763e-05,1.9307104594190605e-05,1.268524101760704e-05
1.3514722013496794e-05,2.0113606296945363e-05,1.97373974515358e-05,1.3036143172939774e-05
1.4000961527926847e-05,2.0622663214453496e-05,2.0182789739919826e-05,1.3388830666372087e-05
1.4474224371952005e-05,2.1108311557327397e-05,2.0639636204577982e-05,1.374343628413044e-05
1.4932043995941058e-05,2.158166353183333e-05,2.1097133867442608e-05,1.4100268344918732e-05
1.5370680557680316e-05,2.204650081694126e-05,2.1546795323956758e-05,1.4459923477261327e-05
1.578955925651826e-05,2.2515545424539596e-05,2.1992053007124923e-05,1.4822438970440999e-05
1.619183603907004e-05,2.3000757209956646e-05,2.243597737106029e-05,1.5187530152616091e-05
1.6581414456595667e-05,2.35176739806775e-05,2.2878870368003845e-05,1.5555355275864713e-05
1.6963371308520436e-05,2.4068833226920106e-05,2.332883741473779e-05,1.5925939806038514e-05
1.7349395420751534e-05,2.4646187739563175e-05,2.3788130420143716e-05,1.629898360988591e-05
1.774582597136032e-05,2.525133459130302e-05,2.4253082301584072e-05,1.6674146536388434e-05
1.8155440557166003e-05,2.5889254175126553e-05,2.472129199304618e-05,1.7051246686605737e-05
1.857855932030361e-05,2.6555046133580618e-05,2.519850568205584e-05,1.7429807485314086e-05
1.9012417396879755e-05,2.7247308025835082e-05,2.5688266759971157e-05,1.7809399651014246e-05
1.945785515999887e-05,2.794403008010704e-05,2.6183002773905173e-05,1.8189390175393783e-05
1.9911689378204755e-05,2.8618944270419888e-05,2.667310764081776e-05,1.8568429368315265e-05
2.0369085177662782e-05,2.927350033132825e-05,2.7156207579537295e-05,1.894480192277115e-05
2.0828238120884635e-05,2.9909773729741573e-05,2.7633366698864847e-05,1.931704355229158e-05
2.1283993191900663e-05,3.052551255677827e-05,2.8105885576223955e-05,1.968483775272034e-05
2.1733892936026677e-05,3.111927799182013e-05,2.856605533452239e-05,2.0049314116477035e-05
2.217854853370227e-05,3.169312185491435e-05,2.9013073799433187e-05,2.0412342564668506e-05
2.2619045921601355e-05,3.225108594051562e-05,2.9444359824992716e-05,2.077628596452996e-05
2.3053366021486e-05,3.279430166003294e-05,2.9859726055292413e-05,2.1143639969523065e-05
2.3480906747863628e-05,3.33273274009116e-05,3.02509779430693e-05,2.1516343622351997e-05
2.3905911803012714e-05,3.383941657375544e-05,3.060121161979623e-05,2.1895422833040357e-05
2.4334090994670987e-05,3.4330780181335285e-05,3.090858444920741e-05,2.2280855773715302e-05
2.4770797608653083e-05,3.4810123906936496e-05,3.1180563382804394e-05,2.2672555132885464e-05
2.5216395442839712e-05,3.5290056985104457e-05,3.142499190289527e-05,2.3070308088790625e-05
2.566959483374376e-05,3.578315590857528e-05,3.1654715712647885e-05,2.3473507098970003e-05
2.6131479899049737e-05,3.629071215982549e-05,3.187820766470395e-05,2.3881510060164146e-05
2.6605244784150273e-05,3.681171438074671e-05,3.2097348594106734e-05,2.429267806292046e-05
2.7091149604530074e-05,3.7343288568081334e-05,3.2310737879015505e-05,2.4705263058422133e-05
2.7588828743319027e-05,3.7882728065596893e-05,3.251927046221681e-05,2.5118199118878692e-05
2.8096805181121454e-05,3.842799924314022e-05,3.27255911543034e-05,2.5530864149914123e-05
