0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0450391130234493e-07,1.295510543286582e-07,3.952578353505487e-08,4.408785869713938e-08,7.814966807018209e-08,1.15586182403149e-07,7.141682800693161e-08,6.853212397572861e-08
3.708417182224366e-07,4.6431031819338386e-07,1.492454373419605e-07,1.6747448228215944e-07,2.922586759268597e-07,4.190260369796306e-07,2.6482931048121827e-07,2.6257350782543654e-07
7.594122166665329e-07,9.500967621534073e-07,3.19441255669517e-07,3.5971376632915053e-07,6.196694357640808e-07,8.645737921142427e-07,5.555486382036179e-07,5.693478897228488e-07
1.2529673085737159e-06,1.5536926412096363e-06,5.435674097498122e-07,6.133776651040534e-07,1.044664941218798e-06,1.423216986040643e-06,9.257657893613214e-07,9.798498012969503e-07
1.8408096593702794e-06,2.2645285753242206e-06,8.171937793122197e-07,9.232448405782634e-07,1.5556039443254122e-06,2.0762361145898467e-06,1.3623024415210239e-06,1.487827830715105e-06
2.515402456992888e-06,3.0779447115492076e-06,1.1374007726772106e-06,1.2857286719736294e-06,2.1435100734379375e-06,2.8118561203882564e-06,1.8562088826001855e-06,2.0884538116661133e-06
3.272254389230511e-06,3.990549885202199e-06,1.5022421848698286e-06,1.6983522073132917e-06,2.8011315862386255e-06,3.6225872008799342e-06,2.4015046165004605e-06,2.7781577500718413e-06
4.106841515749693e-06,5.007732397643849e-06,1.910244918690296e-06,2.1594271402136656e-06,3.5224675229983404e-06,4.502871433942346e-06,2.9933059977338417e-06,3.5538998872652883e-06
4.999506018066313e-06,6.142105121398345e-06,2.3599784526595613e-06,2.6678571884986013e-06,4.3021659621445e-06,5.448286174214445e-06,3.6297885799285723e-06,4.412867383507546e-06
5.932285603194032e-06,7.391119197563967e-06,2.8498641313490225e-06,3.223005705876858e-06,5.1352767513890285e-06,6.454422873503063e-06,4.310748863645131e-06,5.352722837415058e-06
6.900614152982598e-06,8.72614145919215e-06,3.3782152968342416e-06,3.824483883363428e-06,6.017089617671445e-06,7.515418019465869e-06,5.0349235607427545e-06,6.3710654103488196e-06
7.913189620012417e-06,1.0141021448362153e-05,3.943745923606912e-06,4.471953616302926e-06,6.943380867596716e-06,8.624788279121276e-06,5.797854100819677e-06,7.465765520464629e-06
8.980448001238983e-06,1.1648341569525655e-05,4.544899184111273e-06,5.1649158194777556e-06,7.910836757218931e-06,9.778018466022331e-06,6.599867447221186e-06,8.636105121695437e-06
1.0112366908288095e-05,1.3274006960273255e-05,5.182012046134332e-06,5.902933935431065e-06,8.916632395994384e-06,1.0968250535370316e-05,7.441449270118028e-06,9.878792297968175e-06
1.131749104388291e-05,1.5026195796963293e-05,5.85607494940632e-06,6.685748303425498e-06,9.957793736248277e-06,1.2188410437374841e-05,8.309994882438332e-06,1.118891486839857e-05
1.2602368769876193e-05,1.690283534117043e-05,6.568057415279327e-06,7.5131379162485246e-06,1.1030418136215303e-05,1.3437680536299013e-05,9.198484804073814e-06,1.2562570191221312e-05
1.3966415281174704e-05,1.889295526780188e-05,7.31866111891577e-06,8.385027285839897e-06,1.2130102732044179e-05,1.4714756616740488e-05,1.0114238648384344e-05,1.3997789210407063e-05
1.5409446859848686e-05,2.0975927327526733e-05,8.108322617772501e-06,9.301496902480721e-06,1.3252810276753735e-05,1.6021273040678352e-05,1.1064777936553583e-05,1.5495050320168957e-05
1.6921214410103858e-05,2.3135627998271957e-05,8.93698597792536e-06,1.0262745490763336e-05,1.439508832845604e-05,1.7362257494824007e-05,1.2056344530719798e-05,1.7056661818060093e-05
1.849029285949655e-05,2.537102591304574e-05,9.80415461526718e-06,1.1268986781942658e-05,1.5553190678474493e-05,1.8742593965725973e-05,1.3095358553982805e-05,1.8684107999433763e-05
2.011667311307974e-05,2.768971535260789e-05,1.070935104507953e-05,1.2320421774347778e-05,1.672385224082973e-05,2.0169143681414425e-05,1.4186274711391889e-05,2.0373225197545253e-05
2.1808871679240838e-05,3.0084400350460783e-05,1.165263256552862e-05,1.3417288755590562e-05,1.7905702407006174e-05,2.16496719076531e-05,1.5331917893490754e-05,2.210955244663637e-05
2.3568914912175387e-05,3.253402610425837e-05,1.2634778613573872e-05,1.4559987903339788e-05,1.9100583813269623e-05,2.3187008991953917e-05,1.6530268112546764e-05,2.3884284019004554e-05
2.5391393137397245e-05,3.504091364447959e-05,1.3657008821610361e-05,1.5749263184261508e-05,2.031244002864696e-05,2.4782986656646244e-05,1.7770838894648477e-05,2.5696372176753357e-05
2.7281335860607214e-05,3.760390973184258e-05,1.4720852959726471e-05,1.698632513580378e-05,2.1546538846450858e-05,2.6439585781190544e-05,1.904494820337277e-05,2.7551352104637772e-05
2.9252722015371546e-05,4.022937355330214e-05,1.5828265532036312e-05,1.827310370572377e-05,2.280879380123224e-05,2.8158354325569235e-05,2.0355404558358714e-05,2.9459548386512324e-05
3.132654819637537e-05,4.293878373573534e-05,1.6981288354145363e-05,1.9612194591900334e-05,2.4106133423629217e-05,2.9951512260595337e-05,2.1718757125199772e-05,3.14321368932724e-05
3.35267286573071e-05,4.5800814405083656e-05,1.8182092389906757e-05,2.1006957467761822e-05,2.5448869564570487e-05,3.184267916367389e-05,2.3155160306487232e-05,3.3479605917818844e-05
3.5876819310942665e-05,4.892818469670601e-05,1.943407187354751e-05,2.2461767002823763e-05,2.6851563234231435e-05,3.386430034879595e-05,2.4691860744496807e-05,3.561411358532496e-05
