0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2039713226386084e-07,1.3966001688459073e-07,4.466488690013648e-08,4.940169162637176e-08,1.230223887205284e-07,1.3573473722772178e-07,8.911185034321534e-08,7.853156347437107e-08
4.362311472050351e-07,4.958825456924387e-07,1.692969391342558e-07,1.867960293111537e-07,4.6203658143895154e-07,4.908695814265229e-07,3.277019402503356e-07,2.9998849981893727e-07
9.024503810906026e-07,1.0040010920420173e-06,3.624361681886512e-07,3.990279537902097e-07,9.78345497060218e-07,1.0088044746225933e-06,6.806478722864995e-07,6.473451890087745e-07
1.4929597682566964e-06,1.6298556602123426e-06,6.15304202256084e-07,6.763961550859676e-07,1.6402129858761327e-06,1.6531529354324448e-06,1.1226354672544403e-06,1.107561388380418e-06
2.191040948673617e-06,2.356352069909917e-06,9.21093260330963e-07,1.0119942999153864e-06,2.4213948108808836e-06,2.401133997409488e-06,1.6359733763238182e-06,1.6709941519366112e-06
2.986511162816896e-06,3.1683341603638837e-06,1.274437067877443e-06,1.4010710174261476e-06,3.300172693343484e-06,3.2388127237936715e-06,2.2093183815741213e-06,2.3305278773477767e-06
3.871349235851085e-06,4.05422770199948e-06,1.6711960597604048e-06,1.8401938177703414e-06,4.2592414501996245e-06,4.156823706580326e-06,2.8364079298626166e-06,3.0813084777037147e-06
4.835017534787767e-06,5.012515885027824e-06,2.108186890836805e-06,2.326724143131287e-06,5.284663984639337e-06,5.14513203597744e-06,3.513520141495974e-06,3.919544724340085e-06
5.85175530432025e-06,6.0498914535855874e-06,2.5831450329860672e-06,2.8586512144102016e-06,6.364858109009219e-06,6.193404715304496e-06,4.237283974362072e-06,4.8419515223940834e-06
6.898855190229369e-06,7.169521268224344e-06,3.0948203857406043e-06,3.434478685448994e-06,7.490234111173777e-06,7.293593625945505e-06,5.005690582038369e-06,5.845590294484282e-06
7.970666956680361e-06,8.359400453628041e-06,3.6426961287361337e-06,4.053090833622264e-06,8.653099030198064e-06,8.438801160082221e-06,5.819106263516005e-06,6.927249160071369e-06
9.080552445084322e-06,9.612982466933317e-06,4.226745659252629e-06,4.7137491492321715e-06,9.84700454864651e-06,9.623538971936796e-06,6.674895303149242e-06,8.084366527327802e-06
1.0242370080959518e-05,1.0926298273261636e-05,4.846023784921272e-06,5.415810846898239e-06,1.1066267688875087e-05,1.084495033865096e-05,7.572377398901153e-06,9.316029718320351e-06
1.1467057447589468e-05,1.2301727110752836e-05,5.501247869688086e-06,6.1588721109728795e-06,1.2305679774726741e-05,1.210007758345455e-05,8.510267434758134e-06,1.0618883607094176e-05
1.2763262020598631e-05,1.3747164302913006e-05,6.193447461555479e-06,6.9426369009306654e-06,1.3560465959017165e-05,1.338587753707543e-05,9.471224984736182e-06,1.1987638572463766e-05
1.4135795026959386e-05,1.527702079329174e-05,6.923585260665277e-06,7.766820999677293e-06,1.4826318874838762e-05,1.4703254237247165e-05,1.0441097401781008e-05,1.3417336958809756e-05
1.5581252228002995e-05,1.69034865393769e-05,7.692517101531848e-06,8.631441232864745e-06,1.6100017091957852e-05,1.604933822818566e-05,1.1422427633078769e-05,1.4904438103258144e-05
1.7097774616559036e-05,1.8638595065567642e-05,8.50108244776493e-06,9.536856850900222e-06,1.737941420287825e-05,1.74196575244423e-05,1.241889094671933e-05,1.6447353118564934e-05
1.8678205378819257e-05,2.0497918740147725e-05,9.34964555199258e-06,1.0483767255209386e-05,1.8663220544112846e-05,1.880920899566263e-05,1.3433273124974221e-05,1.804620842449367e-05
2.0315263100201264e-05,2.248743112431839e-05,1.023814456857508e-05,1.1473206541268155e-05,1.995077582250815e-05,2.0214834876242094e-05,1.446961505280342e-05,1.9701716155395843e-05
2.2014994101482444e-05,2.459617826389149e-05,1.116632302000653e-05,1.250652530870866e-05,2.1242944058030844e-05,2.163820681744255e-05,1.553166475787293e-05,2.141106961062178e-05
2.3785487428540364e-05,2.6809442715602927e-05,1.2134068128943909e-05,1.3585287888417952e-05,2.2542068109032698e-05,2.308669536432717e-05,1.6623396732029505e-05,2.3163265723269433e-05
2.5630339223425835e-05,2.9115557481418364e-05,1.3141636372893117e-05,1.4711439689563122e-05,2.3852267986512743e-05,2.4567427317379043e-05,1.7746564481058158e-05,2.4952454623416997e-05
2.7546322598936968e-05,3.150507836835459e-05,1.4189454304869287e-05,1.588723353052046e-05,2.5179189833579585e-05,2.6092087864526547e-05,1.889688428491354e-05,2.6779005565913394e-05
2.9533199267461896e-05,3.397127875359729e-05,1.527811400592327e-05,1.7115329683292657e-05,2.653034243849106e-05,2.7677308025886305e-05,2.007259536185302e-05,2.864850284822751e-05
3.1596009648637846e-05,3.6540874134516343e-05,1.6408710507676005e-05,1.8398681277176365e-05,2.7915084501728415e-05,2.93390348815592e-05,2.1281186491250992e-05,3.057144567719661e-05
3.37477758876048e-05,3.922529504052363e-05,1.7582691725692712e-05,1.974054248421453e-05,2.934350777650252e-05,3.109400859102607e-05,2.254056016681716e-05,3.255961200920865e-05
3.600553100113757e-05,4.203151183901355e-05,1.8801782061927952e-05,2.1144587663002312e-05,3.082641342189163e-05,3.29651556967292e-05,2.3869839424150996e-05,3.462377571850084e-05
3.83859223802574e-05,4.5014974602963775e-05,2.0069237507414073e-05,2.261528788949363e-05,3.2375526643591e-05,3.498419755487703e-05,2.5290795747423545e-05,3.6777018976863474e-05
