0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.880202553181334e-08,9.137678347315159e-08,1.295276774726517e-07,9.198760864137512e-08,6.515752914992845e-08,7.126368473109324e-08,1.0731355359894224e-07,7.680340985416478e-08
1.8519176592235453e-07,3.3965500279009575e-07,4.5069060661262483e-07,3.3639190633039107e-07,2.414015227714117e-07,2.7179353878636903e-07,3.9042754451656947e-07,2.8448266675695777e-07
3.969809938553226e-07,7.107259989425074e-07,9.024442420013656e-07,7.000603545748163e-07,5.067481652076822e-07,5.869875394637347e-07,8.077413440332748e-07,5.974059718028002e-07
6.749743306500022e-07,1.1827576145151397e-06,1.455880124012765e-06,1.1626376590356813e-06,8.459233526991738e-07,1.0064893558592303e-06,1.3322911627255962e-06,9.977146646633628e-07
1.0122857929673046e-06,1.7362586959279724e-06,2.100809069816023e-06,1.711379468360974e-06,1.2481992825996713e-06,1.522342131465848e-06,1.9463639091554796e-06,1.4725186474606744e-06
1.4039097777640563e-06,2.356090817556833e-06,2.8320428100414574e-06,2.3382297058560653e-06,1.7070083231374156e-06,2.127474772350979e-06,2.638899331941502e-06,2.0123450212850003e-06
1.8462457092027762e-06,3.0312594390125014e-06,3.647288167485385e-06,3.0382191198441433e-06,2.2188412458490347e-06,2.815702373482054e-06,3.4028623758786125e-06,2.6098723537870683e-06
2.336728130103438e-06,3.753482133106445e-06,4.548432571027661e-06,3.8084986044850666e-06,2.780509248623275e-06,3.581288865461829e-06,4.233361778460676e-06,3.259075128880795e-06
2.873523499147268e-06,4.516410626820289e-06,5.5414043345081154e-06,4.647097284760093e-06,3.3908804653037805e-06,4.418495791469468e-06,5.126666565047344e-06,3.954901785618858e-06
3.455251771811163e-06,5.315494490787387e-06,6.624623893003445e-06,5.551782123802695e-06,4.048286427860148e-06,5.322207925928524e-06,6.07925630902173e-06,4.693210939876735e-06
4.080886810697848e-06,6.147989097371465e-06,7.786953574395739e-06,6.519234830193454e-06,4.74720582133159e-06,6.287491487455554e-06,7.085574907250702e-06,5.471223630593158e-06
4.749702839035308e-06,7.0116643655637745e-06,9.031375157064758e-06,7.546357210230781e-06,5.479587343870662e-06,7.310596174647799e-06,8.138692464854103e-06,6.287011729000369e-06
5.461090040626004e-06,7.904384801804554e-06,1.0358631698181853e-05,8.633560355519876e-06,6.244802989385789e-06,8.390021321247332e-06,9.23285278986441e-06,7.13917597749969e-06
6.21485514784581e-06,8.824344149616081e-06,1.1776377505157143e-05,9.783250789041631e-06,7.042875949991867e-06,9.52228674577782e-06,1.036220055539161e-05,8.026513569348026e-06
7.011162779235747e-06,9.769529242475983e-06,1.3295209100760985e-05,1.0997699973813724e-05,7.862500751798507e-06,1.0702845429477748e-05,1.1522223758220207e-05,8.947737114795018e-06
7.850302608858328e-06,1.0737677257566247e-05,1.492782848799834e-05,1.2278628673811909e-05,8.695995347807184e-06,1.1928904314117972e-05,1.2713140677078627e-05,9.900963959807996e-06
8.732712558412459e-06,1.1727414857887197e-05,1.6685422451701015e-05,1.3625533028971404e-05,9.548489288135897e-06,1.3200223293097224e-05,1.3934906746726483e-05,1.088385033654049e-05
9.658970157033764e-06,1.27383655126323e-05,1.856343624240253e-05,1.5034926946100313e-05,1.0427757842990104e-05,1.4519205251417588e-05,1.5188836187007837e-05,1.1893886039615609e-05
1.0629782991600223e-05,1.3770997611572966e-05,2.0536363081191666e-05,1.650742706260644e-05,1.1341383469698485e-05,1.5889521819190122e-05,1.6475323718623258e-05,1.2928675459988881e-05
1.1645872291410342e-05,1.4826383448962588e-05,2.2579088181373663e-05,1.8045888282358646e-05,1.2296538443479221e-05,1.731316660880111e-05,1.779402737156488e-05,1.398552194586955e-05
1.2707972928183153e-05,1.590595638845116e-05,2.468044840497896e-05,1.96459841390606e-05,1.3298514204507228e-05,1.8786757209454663e-05,1.914553649839945e-05,1.50619034684496e-05
1.3816800674248952e-05,1.7011356248985976e-05,2.683001548575703e-05,2.1302415916579776e-05,1.4349656339618377e-05,2.0296902221161872e-05,2.053149182756897e-05,1.6155816410901025e-05
1.4973091310821474e-05,1.8145319700124674e-05,2.9025934054516256e-05,2.3009442884358577e-05,1.544782026030589e-05,2.1835192455910146e-05,2.1949706933810376e-05,1.7266513168578967e-05
1.61776570166694e-05,1.9311561118229292e-05,3.129322794848122e-05,2.4761609893175773e-05,1.6583184333285317e-05,2.340040919079911e-05,2.3402755687129684e-05,1.8395510778645985e-05
1.7431531887268648e-05,2.0514447896857746e-05,3.364482836332172e-05,2.6555768272373825e-05,1.7745282093528658e-05,2.4997361833811738e-05,2.4896737158996984e-05,1.954744766408112e-05
1.8736167476163246e-05,2.17594006244326e-05,3.611623469623737e-05,2.8388103601173498e-05,1.8932130842586048e-05,2.6634932510205545e-05,2.643685002112761e-05,2.072974166367203e-05
2.0093393686693162e-05,2.3053276891005225e-05,3.8734062400180846e-05,3.0254133889684454e-05,2.0153611330897547e-05,2.8322445359663107e-05,2.8036898584105074e-05,2.1951609596726485e-05
2.150575164705515e-05,2.4404353098361753e-05,4.152548353886232e-05,3.216192635591142e-05,2.1422869394882582e-05,3.007077430083882e-05,2.9719834856223315e-05,2.322399268450681e-05
2.2976781110628508e-05,2.5822146199061535e-05,4.4543547119246796e-05,3.413535887375474e-05,2.2760663341614418e-05,3.189433118677698e-05,3.152177669107914e-05,2.4559683879488148e-05
