0,1,2,3
0.0,0.0,0.0,0.0
1.3415048272236163e-07,1.3952544009043777e-07,3.0415264973271405e-07,1.5101475980827672e-07
4.987889496987918e-07,4.848855041927891e-07,1.154186293206294e-06,5.525250230675738e-07
1.0446334499647492e-06,9.6620919975976e-07,2.4847274744388415e-06,1.141292045758746e-06
1.7327294017377426e-06,1.5516047824348789e-06,4.2333226701885e-06,1.8699337260841276e-06
2.533343376853736e-06,2.233017767139245e-06,6.315490281849634e-06,2.7028925160266226e-06
3.4253246212756494e-06,3.007621671713423e-06,8.641782187623903e-06,3.614837851273478e-06
4.391451057017548e-06,3.866427505272441e-06,1.1151902072015218e-05,4.589350737660425e-06
5.410924586612964e-06,4.7932303459674586e-06,1.3827374459651764e-05,5.612424502032809e-06
6.462560577347176e-06,5.760758540418465e-06,1.6674481230438687e-05,6.671878509223461e-06
7.530068160122028e-06,6.745847713318653e-06,1.9694285583682358e-05,7.759665095363744e-06
8.603860806033481e-06,7.744664799247403e-06,2.2871790861245245e-05,8.870642886904534e-06
9.678070455265697e-06,8.779265044722706e-06,2.6176310711889528e-05,9.999917892855592e-06
1.0754055438155774e-05,9.864435014605988e-06,2.960146412078757e-05,1.114546012104256e-05
1.1828375136246905e-05,1.100978442991618e-05,3.315931826364249e-05,1.2310905731283128e-05
1.2881003385700751e-05,1.221907587023452e-05,3.6829456803388894e-05,1.3503579793905374e-05
1.3902401406085119e-05,1.3491342542693019e-05,4.057728801853955e-05,1.4725301298312843e-05
1.4905260286468547e-05,1.4824978279648349e-05,4.4375614379532635e-05,1.5967816580086946e-05
1.5908068235148676e-05,1.6213189155678265e-05,4.820401954930276e-05,1.7220298104803078e-05
1.6929057892411947e-05,1.7630949514568783e-05,5.2044586482224986e-05,1.847419662226457e-05
1.7980113625526428e-05,1.9065500964643434e-05,5.5882512242533267e-05,1.972398786165286e-05
1.9062938008573838e-05,2.0528976165223867e-05,5.9713471273425967e-05,2.096728167089168e-05
2.017224505834747e-05,2.2040865587769076e-05,6.355305959004909e-05,2.2201042156666517e-05
2.129861240973696e-05,2.360653888899833e-05,6.741376273566857e-05,2.3422890080837533e-05
2.2429676391766407e-05,2.521217720641289e-05,7.127360004233196e-05,2.4634276996948756e-05
2.3560427507618442e-05,2.6842966690310277e-05,7.510362775065005e-05,2.5840656235232018e-05
2.469397622917313e-05,2.8499602194642648e-05,7.887723040767014e-05,2.7046249670092948e-05
2.5832774554146454e-05,3.0197988962754607e-05,8.25653551146388e-05,2.8248203307157382e-05
2.6962914489558898e-05,3.1960124033503234e-05,8.614505350124091e-05,2.943856998172123e-05
2.806393058563117e-05,3.3792304748203605e-05,8.960819832282141e-05,3.06047877529636e-05
2.912720083259046e-05,3.56851851393003e-05,9.295130439568311e-05,3.173717050231062e-05
3.015506808878854e-05,3.761625703191385e-05,9.617250907467678e-05,3.283580008428544e-05
3.1153118470683694e-05,3.9578320865985006e-05,9.928338840836659e-05,3.390266647329554e-05
3.212991578038782e-05,4.1567553125787526e-05,0.00010228528844891116,3.493250551400706e-05
3.309958992758766e-05,4.3573487346293405e-05,0.00010514960013097152,3.592199209379032e-05
3.408232078072615e-05,4.5586923079099506e-05,0.0001078405330190435,3.687051867018454e-05
3.509894304443151e-05,4.7610508772777393e-05,0.00011036288196919486,3.7780315324198455e-05
3.616931280703284e-05,4.9646609113551676e-05,0.00011272341362200677,3.865733742713928e-05
3.730273601831868e-05,5.1700415497180074e-05,0.00011493868078105152,3.950779137085192e-05
3.849428321700543e-05,5.377635170589201e-05,0.00011703573545673862,4.033368531963788e-05
3.97259573219344e-05,5.5869353673188016e-05,0.00011903098493348807,4.113300019525923e-05
4.0972037822939456e-05,5.795684046461247e-05,0.0001209405527333729,4.1902872908394784e-05
4.221721610520035e-05,6.003921589581296e-05,0.00012276458437554538,4.264478775439784e-05
4.346726927906275e-05,6.212835432961583e-05,0.00012447329936549067,4.3365060264477506e-05
4.4720913138007745e-05,6.421757279895246e-05,0.00012606513337232172,4.4069136492908e-05
4.597181032295339e-05,6.630895950365812e-05,0.0001275481772609055,4.476163667277433e-05
4.722047378891148e-05,6.83772232150659e-05,0.00012892534141428769,4.545112460618839e-05
4.8460395191796124e-05,7.038714829832315e-05,0.00013018978643231094,4.614512363332324e-05
4.967716813553125e-05,7.233133510453627e-05,0.00013133682659827173,4.6846646000631154e-05
5.0858721806434914e-05,7.42135671316646e-05,0.00013238789688330144,4.755984991788864e-05
5.1991122745675966e-05,7.60458133299835e-05,0.00013336390838958323,4.829141835216433e-05
5.306573075358756e-05,7.785644993418828e-05,0.0001342713658232242,4.904619709122926e-05
5.408526340033859e-05,7.96532112872228e-05,0.0001351148821413517,4.98252957186196e-05
5.506138040800579e-05,8.143689774442464e-05,0.00013588850561063737,5.0628168537514284e-05
5.6012831919360906e-05,8.321357017848641e-05,0.0001365804491797462,5.145526665728539e-05
5.6963930546771735e-05,8.49914358695969e-05,0.00013718886475544423,5.230779788689688e-05
5.792969386675395e-05,8.679266466060653e-05,0.0001377387234242633,5.3188152378425e-05
5.891489490750246e-05,8.864106348482892e-05,0.00013826099166180938,5.4095602536108345e-05
5.991430225549266e-05,9.053721441887319e-05,0.00013878110621590167,5.50249642401468e-05
6.091821342124604e-05,9.248629066860303e-05,0.00013931297871749848,5.597260678769089e-05
6.192170985741541e-05,9.446818876313046e-05,0.00013983179815113544,5.693815182894468e-05
6.291667523328215e-05,9.645885438658297e-05,0.00014031051250640303,5.792245065094903e-05
