0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.472202993430983e-07,3.0598440048379416e-07,4.297778559703147e-07,4.790652496922121e-07,2.9043005156381696e-07,1.142889686889248e-05,1.267986704078794e-06,5.229023258834786e-08,4.4145815536467126e-07,4.4225609485692985e-07,3.5252750762992946e-07,1.4571030078514013e-05,1.3151738187389128e-07,2.5938624048649217e-07,1.5974772793470038e-07,8.833902143123851e-08,5.856294365003123e-07,2.2302135676000034e-06,9.663732498665922e-07,2.722528904541832e-07,7.530823040724499e-07,2.90627895083162e-07,2.608180466268095e-06,1.8652379196737456e-07,3.6423693927645218e-06,2.6138588964386145e-06,1.8433845980325714e-05,1.8302065427633352e-06,4.7489556891378015e-06,3.4605793075570546e-07,6.986262235386675e-08,5.924749046926081e-08,4.208625341561856e-06,1.0096319158492406e-07,1.5095660046426929e-06,4.937088533552014e-07,9.29697421270248e-07,8.333877588029281e-08,8.538891194120879e-08,1.311719074692519e-06,4.035175606986741e-06,2.4473339976793795e-07,9.14336766300039e-08,3.0241110948736605e-08,3.471431497814592e-08,4.963510846778263e-08,2.860623908418347e-06,3.1950999073160347e-06,4.033234901612559e-08,7.797757461958099e-08,8.79329218150815e-06,1.4457673387369141e-05,8.987626642920077e-06,6.371477866196074e-06,1.243088945557247e-06,4.459421234059846e-06,3.539379278549859e-08,6.112258006396587e-07,3.442608331738484e-08,6.521004252135754e-05,2.0652421881095506e-05,5.417472038971027e-06,3.310838536663141e-08,2.5764020392671227e-06,1.5950912711559795e-05,1.6234194845310412e-05,5.915244855714263e-06,1.0534031957831758e-07,1.3592302821052726e-06,9.528319424134679e-06,8.426897693425417e-06,1.754994627845008e-05,1.8303537217434496e-05,6.8183276198396925e-06,8.474802939417714e-07,1.7298481907346286e-05,5.316748229233781e-06,2.6871539375861175e-05,2.270984111873986e-07,1.777300781213853e-06,4.921344043395948e-07,1.17057474824378e-07,9.654057066654786e-06,1.4497924894385505e-05,1.7176769688376226e-05,3.4271826734766364e-05,4.730928822027636e-07,1.358904228254687e-05,3.434109385125339e-05,2.55974391620839e-05,4.592928598867729e-05,4.11454529967159e-05,1.5776997315697372e-05,1.2652526493184268e-05,3.973510683863424e-05,4.44571105617797e-06,1.625653385417536e-05,3.5815839964925544e-06,4.088487185072154e-05,1.031628835335141e-05
9.63323941505223e-07,1.2103104154448374e-06,1.6858583649081993e-06,1.812344862628379e-06,1.1369839967301232e-06,3.94065173168201e-05,4.9785644478106406e-06,2.0503020436990482e-07,1.7439828070564545e-06,1.733813860482769e-06,1.378990873490693e-06,5.134039020049386e-05,5.216758722781378e-07,1.0158061058973544e-06,6.299677579590934e-07,3.502989045500726e-07,2.3234722448250977e-06,8.719619472685736e-06,3.8003208828740753e-06,1.070928419721895e-06,2.9761658879579045e-06,1.1493851843624725e-06,1.0346591807319783e-05,7.337371812354831e-07,1.4502144949801732e-05,9.965091521735303e-06,7.053605804685503e-05,7.258440746227279e-06,1.7944212231668644e-05,1.3471366173689603e-06,2.7611915243141993e-07,2.357553370302412e-07,1.5658317352063023e-05,4.021686095256882e-07,5.7679367273522075e-06,1.8695250219025183e-06,3.624086957643158e-06,3.2985911957439384e-07,3.344254082549014e-07,5.258626970316982e-06,1.5131119653233327e-05,9.731572845339542e-07,3.612705370414915e-07,1.1899096108436424e-07,1.3744306670560036e-07,1.9437958087564766e-07,1.1123243893962353e-05,1.2079170119250193e-05,1.5968620914463827e-07,3.0643010973108176e-07,3.184767410857603e-05,5.1811734010698274e-05,3.167592876707204e-05,2.5019277018145658e-05,4.7777261897863355e-06,1.7139776900876313e-05,1.407590417557003e-07,2.4078688056761166e-06,1.3681471955351299e-07,0.00021204486256465316,7.523896056227386e-05,2.1327921785996296e-05,1.3220142136560753e-07,1.0260939234285615e-05,5.785894609289244e-05,5.4275846196105704e-05,2.1685302272089757e-05,4.1115242765954463e-07,5.62592686037533e-06,3.3572570828255266e-05,3.0919738492229953e-05,6.08624832239002e-05,6.6206710471306e-05,2.3882239474914968e-05,3.4087447602360044e-06,6.383561412803829e-05,1.8236432879348285e-05,9.392401261720806e-05,8.901586170395603e-07,6.599834250664571e-06,1.965509909496177e-06,4.6293175159917155e-07,3.4916876757051796e-05,5.418559885583818e-05,5.889271051273681e-05,0.00011997773253824562,1.8063226434605895e-06,4.62276948383078e-05,0.0001246123865712434,8.684636122779921e-05,0.00016201144899241626,0.00013754038081970066,5.8289999287808314e-05,4.48893042630516e-05,0.00013309516361914575,1.643106406845618e-05,5.5530847021145746e-05,1.2841787793149706e-05,0.00014244308113120496,3.730778917088173e-05
2.1106211534061003e-06,2.6863931452680845e-06,3.7179597711656243e-06,3.855506747640902e-06,2.502819370420184e-06,7.697845285292715e-05,1.103957310988335e-05,4.5220573952065024e-07,3.875733455060981e-06,3.82641383112059e-06,3.0265809982665814e-06,0.00010565121192485094,1.1638172736638808e-06,2.2383414943760727e-06,1.3975322872283868e-06,7.810189117662958e-07,5.179669642529916e-06,1.9335837350809015e-05,8.393740245082881e-06,2.3716224859526847e-06,6.567127456946764e-06,2.5548465600877535e-06,2.2693051505484618e-05,1.6223804095716332e-06,3.2114472560351714e-05,2.126121398760006e-05,0.00014242874749470502,1.6233181668212637e-05,3.7709101889049634e-05,2.9410614388325484e-06,6.138099593044899e-07,5.276413617139042e-07,3.2688774808775634e-05,9.006946584122488e-07,1.2434544260031544e-05,3.981073859904427e-06,7.886703315307386e-06,7.344615369220264e-07,7.365430860772904e-07,1.1758495020330884e-05,3.2028448913479224e-05,2.1725627448176965e-06,8.027699323065463e-07,2.633642282034998e-07,3.0591678523705923e-07,4.2820087742256874e-07,2.4030943677644245e-05,2.5074488803511485e-05,3.555415446498955e-07,6.771552421014349e-07,6.292963371379301e-05,0.00010422630293760449,6.62097882013768e-05,5.3487277909880504e-05,1.0277909495925996e-05,3.649907739600167e-05,3.1486808893532725e-07,5.3382864280138165e-06,3.058217998841428e-07,0.00040261473623104393,0.00015199313929770142,4.6561050112359226e-05,2.9688112590520177e-07,2.268690695927944e-05,0.0001202031853608787,9.932270040735602e-05,4.501331932260655e-05,8.980228471955343e-07,1.2847043763031252e-05,6.850034696981311e-05,6.417647091438994e-05,0.0001145009373431094,0.00012524191697593778,4.920629726257175e-05,7.639668183401227e-06,0.00013497444160748273,3.524479689076543e-05,0.0001915626198751852,1.945339136000257e-06,1.3714938177145086e-05,4.409665962157305e-06,1.02980720839696e-06,7.290042412932962e-05,0.00011097578681074083,0.00012080140731995925,0.0002380610822001472,3.882464625348803e-06,9.332431363873184e-05,0.0002469502796884626,0.00016964308451861143,0.0003307692823000252,0.0002588260394986719,0.0001207388995680958,8.9039902377408e-05,0.0002528739278204739,3.6441138945519924e-05,0.00010939851199509576,2.6099027309101075e-05,0.00031448272056877613,7.689159247092903e-05
3.656554099507048e-06,4.704931598098483e-06,6.474950168922078e-06,6.479315288743237e-06,4.351273219072027e-06,0.00011942024138988927,1.9306160538690165e-05,7.880389603087679e-07,6.795578428864246e-06,6.675693384750048e-06,5.238985522737494e-06,0.00016894012514967471,2.051201818176196e-06,3.8984867387625854e-06,2.449923840686097e-06,1.3752814993495122e-06,9.122039955400396e-06,3.377074244781397e-05,1.4621553418692201e-05,4.146875198784983e-06,1.1443873518146574e-05,4.483284556044964e-06,3.9263657527044415e-05,2.832507789207739e-06,5.487016460392624e-05,3.57294557034038e-05,0.00022462551714852452,2.7969865186605603e-05,6.23633386567235e-05,5.061814135842724e-06,1.078042373592325e-06,9.329819476988632e-07,5.302679710439406e-05,1.5931033203742118e-06,2.1256586478557438e-05,6.6981442614633124e-06,1.3531092008634005e-05,1.2923549093102338e-06,1.2813867442673654e-06,2.060164297290612e-05,5.4695432481821626e-05,3.824939540209016e-06,1.4091353932599304e-06,4.6057192548687453e-07,5.377264642447699e-07,7.45343015751132e-07,4.093031384400092e-05,4.052164513268508e-05,6.253117135202046e-07,1.1819981864391593e-06,9.413650695933029e-05,0.00017033870972227305,0.00011050795728806406,9.038770804181695e-05,1.7446196579840034e-05,6.261262024054304e-05,5.564833145399462e-07,9.352836968901101e-06,5.400906957220286e-07,0.0006407348555512726,0.00023442693054676056,8.050470933085307e-05,5.267027631816745e-07,3.9124759496189654e-05,0.00019593173055909574,0.00015093295951373875,7.383265619864687e-05,1.541803158033872e-06,2.247486190753989e-05,0.0001109586883103475,0.00010651663615135476,0.00017627206398174167,0.00020102228154428303,7.931813161121681e-05,1.3318486708158161e-05,0.00022121469373814762,5.391020386014134e-05,0.0003138291067443788,3.32712329509377e-06,2.261318513774313e-05,7.828651177987922e-06,1.8100740817317273e-06,0.00011584642197703943,0.00018283554527442902,0.00020432604651432484,0.00035856899921782315,6.688179837510688e-06,0.00014743053179699928,0.0003834584786091,0.00025568471755832434,0.0004999822122044861,0.0003902762255165726,0.00019969040295109153,0.0001377390290144831,0.00039503106381744146,6.178356125019491e-05,0.00017059022502508014,4.248404366080649e-05,0.0005131022189743817,0.00012453555245883763
5.568919732468203e-06,7.236985311465105e-06,9.907935236697085e-06,9.569298526912462e-06,6.646298061241396e-06,0.0001698098931228742,2.967378713947255e-05,1.2070082675563754e-06,1.0478263902768958e-05,1.0236075468128547e-05,7.959923095768318e-06,0.00024265379761345685,3.1770014174981043e-06,5.9703097576857544e-06,3.774503511522198e-06,2.1275325252645416e-06,1.4128138900559861e-05,5.141582732903771e-05,2.2389127479982562e-05,6.367316018440761e-06,1.7482181647210382e-05,6.91046443535015e-06,5.9233425417914987e-05,4.343535238149343e-06,8.157597767421976e-05,5.242312545306049e-05,0.00031593453604727983,4.2198822484351695e-05,9.128276724368334e-05,7.644334800716024e-06,1.6640136664136662e-06,1.44981527228083e-06,7.518042548326775e-05,2.475431756465696e-06,3.206146357115358e-05,9.905729712045286e-06,2.0381625290610828e-05,1.9988149233540753e-06,1.9588542272686027e-06,3.146424569422379e-05,8.188185893232003e-05,5.907488230150193e-06,2.173525444959523e-06,7.079302690726763e-07,8.304062362185505e-07,1.1403202506699017e-06,6.137428135843948e-05,5.8094508858630434e-05,9.6635289992264e-07,1.8128786223314819e-06,0.00013026857050135732,0.0002494676155038178,0.00015999712923076004,0.00013382663019001484,2.600286461529322e-05,9.460349974688143e-05,8.643438036415318e-07,1.4399198335013352e-05,8.382508553950174e-07,0.0008837798377498984,0.0003114122664555907,0.0001230026682605967,8.21205617285159e-07,5.8537025324767455e-05,0.00027973594842478633,0.00021764231496490538,0.0001048143531079404,2.3147440515458584e-06,3.4015327400993556e-05,0.00015783141134306788,0.0001554229820612818,0.0002428515290375799,0.00028351141372695565,0.00011316309974063188,2.0180259525659494e-05,0.00031937521998770535,7.41889962228015e-05,0.000448545441031456,4.951105893269414e-06,3.3338928915327415e-05,1.222878199769184e-05,2.796338549160282e-06,0.00016493044677190483,0.0002664616040419787,0.0003053992404602468,0.00048780342331156135,1.0258220754622016e-05,0.00020576980023179203,0.0005266770604066551,0.0003542246704455465,0.0006951228133402765,0.0005473667406477034,0.0002863387926481664,0.00019306389731355011,0.0005459135863929987,9.614425653126091e-05,0.0002352047013118863,6.167149695102125e-05,0.0007686597527936101,0.00017502983973827213
7.815664503141306e-06,1.0257333997287787e-05,1.3974668945593294e-05,1.3025219232076779e-05,9.352877896162681e-06,0.00022769381757825613,4.1998504457296804e-05,1.7038213400155655e-06,1.4903074770700186e-05,1.4462232684309129e-05,1.1138874469907023e-05,0.00031020326423458755,4.5343631427385844e-06,8.430076377408113e-06,5.3588973969453946e-06,3.031917913176585e-06,2.0161449356237426e-05,7.224547152873129e-05,3.1522296922048554e-05,8.997782970254775e-06,2.4551238311687484e-05,9.810031770030037e-06,8.215740672312677e-05,6.133986516942969e-06,0.00011169798381160945,7.138507498893887e-05,0.0004148827865719795,5.886470535187982e-05,0.0001248801709152758,1.0625827599142212e-05,2.366958597121993e-06,2.0761442556249676e-06,9.834266529651359e-05,3.5432099139143247e-06,4.4724802137352526e-05,1.35114423756022e-05,2.8277825549594127e-05,2.8492029287008336e-06,2.7591545403993223e-06,4.4039647036697716e-05,0.0001115830527851358,8.392736162932124e-06,3.0890487323631532e-06,1.0028584256360773e-06,1.1814940990007017e-06,1.6079274018920842e-06,8.486332080792636e-05,7.66669909353368e-05,1.3759753301201272e-06,2.5618151084927376e-06,0.0001702524459687993,0.00034441595198586583,0.00020808615954592824,0.0001835808507166803,3.565920997061767e-05,0.00013126192789059132,1.2371488082862925e-06,2.0416513507370837e-05,1.1989211543550482e-06,0.001120067434385419,0.00038414166192524135,0.00017319658945780247,1.179940454676398e-06,7.967440615175292e-05,0.0003645635151769966,0.0002873767807614058,0.00013764557661488652,3.186999947502045e-06,4.739863288705237e-05,0.00020413454330991954,0.00020653287356253713,0.00031030646641738713,0.00036973028909415007,0.00015081377932801843,2.8016127544105984e-05,0.0004146343853790313,9.518276056041941e-05,0.0005854585906490684,6.7186060732638e-06,4.6053999540163204e-05,1.7495951396995224e-05,3.981413556175539e-06,0.00021508308418560773,0.0003638484631665051,0.0004222122661303729,0.0006183420773595572,1.4639005712524522e-05,0.0002637044235598296,0.0006558804307132959,0.00044517163769342005,0.0008610193617641926,0.0007045786478556693,0.0003805150918196887,0.0002501275739632547,0.0007299827411770821,0.00013898556062486023,0.00030620588222518563,8.306502422783524e-05,0.0010792901739478111,0.00023019649961497635
1.0368053153797518e-05,1.3738615962211043e-05,1.863106808741577e-05,1.6760297512519173e-05,1.2437212717486545e-05,0.00029010194703005254,5.605021578958258e-05,2.2734293452231213e-06,2.0051662431797013e-05,1.9311028154334053e-05,1.4739624020876363e-05,0.00037524342769756913,6.11632503932924e-06,1.1255512617935892e-05,7.191145414253697e-06,4.0823106246534735e-06,2.715634400374256e-05,9.615909948479384e-05,4.169262319919653e-05,1.2007531040580943e-05,3.252823807997629e-05,1.3153212421457283e-05,0.00010762596502900124,8.182119017874356e-06,0.00014424235268961638,9.195060556521639e-05,0.0005278381868265569,7.782266038702801e-05,0.00016186147695407271,1.3946289072919171e-05,3.182247155564255e-06,2.809931174851954e-06,0.00012325240822974592,4.7914681999827735e-06,5.914952271268703e-05,1.7446354831918143e-05,3.7072830309625715e-05,3.839165856334148e-06,3.672839056889643e-06,5.8084962802240625e-05,0.00014351157005876303,1.1248153896303847e-05,4.148783318669302e-06,1.342890755040571e-06,1.5885823358985363e-06,2.1432229004858527e-06,0.00011086822632933035,9.545387729303911e-05,1.8514480188969173e-06,3.4209549539809814e-06,0.00021099466539453715,0.0004550041921902448,0.00025966487010009587,0.00023668541689403355,4.620038453140296e-05,0.00017338446923531592,1.6735619965402293e-06,2.73353471129667e-05,1.6207044382099411e-06,0.0013636238873004913,0.00045102121657691896,0.0002315830352017656,1.602480097062653e-06,0.00010118910722667351,0.0004569657030515373,0.00035331735853105783,0.00016991066513583064,4.129168246436166e-06,6.210104038473219e-05,0.0002566438924986869,0.0002611837990116328,0.00037605781108140945,0.0004640547267626971,0.00019003466877620667,3.652343730209395e-05,0.0005219150916673243,0.00011954397632507607,0.0007139710942283273,8.524242730345577e-06,6.060712621547282e-05,2.3483209588448517e-05,5.358306225389242e-06,0.0002737320610322058,0.0004657699028030038,0.0005711934063583612,0.0007750684744678438,1.979931039386429e-05,0.00033036345848813653,0.0008261418552137911,0.0005367544363252819,0.001036106375977397,0.0008831933373585343,0.00046901346649974585,0.0003097552980761975,0.0009224748937413096,0.0001872270368039608,0.00038725155172869563,0.00010720485443016514,0.0014402507804334164,0.000288776820525527
1.3195873179938644e-05,1.7637155906413682e-05,2.383021819696296e-05,2.070035770884715e-05,1.5866860849200748e-05,0.00035900756483897567,7.163779810070992e-05,2.9110683499311563e-06,2.5892950361594558e-05,2.473948734404985e-05,1.8739379811449908e-05,0.0004381398030091077,7.916019058029633e-06,1.4425273548113182e-05,9.25965650822036e-06,5.272295311442576e-06,3.5002587537746876e-05,0.0001227132452186197,5.27489792148117e-05,1.5377603631350212e-05,4.1322804463561624e-05,1.6911830243770964e-05,0.00013520241191145033,1.0466103958606254e-05,0.000179013135493733,0.0001139855885412544,0.0006536123692058027,9.863515879260376e-05,0.00020215290714986622,1.7545164155308157e-05,4.1054690882447176e-06,3.6491135233518435e-06,0.00014980077685322613,6.214769200596493e-06,7.532986637670547e-05,2.1657973775290884e-05,4.672795330407098e-05,4.964434992871247e-06,4.6908303374948446e-06,7.322925375774503e-05,0.0001757853024173528,1.4436662240768783e-05,5.345763838704443e-06,1.7256685396205285e-06,2.0493594092840794e-06,2.7415210297476733e-06,0.0001387482916470617,0.00011638734576990828,2.3900245196273318e-06,4.382604402053403e-06,0.00025234458735212684,0.0005653980188071728,0.0003145949449390173,0.00029293831903487444,5.724048605770804e-05,0.0002230074314866215,2.1722123619838385e-06,3.508845475153066e-05,2.102188545904937e-06,0.001626976067200303,0.0005310217384248972,0.0002993021334987134,2.0884460809611483e-06,0.00012173264985904098,0.0005537628894671798,0.0004198929527774453,0.00020000631047878414,5.1132674343534745e-06,7.727766933385283e-05,0.0003176148165948689,0.0003168279945384711,0.000441629410488531,0.000559923006221652,0.00022724676819052547,4.5510518248192966e-05,0.0006310916505753994,0.00014812218432780355,0.0008378560305573046,1.026557401928585e-05,7.615835056640208e-05,3.006854240084067e-05,6.920204668858787e-06,0.0003282364923506975,0.00057314831065014,0.0007338717696256936,0.0009804564760997891,2.5696272132336162e-05,0.00039817066863179207,0.0010048523545265198,0.0006394596421159804,0.0012528961524367332,0.001044712495058775,0.0005563757731579244,0.00037324163713492453,0.0011370702413842082,0.0002281547203892842,0.0004775598645210266,0.00013327419583220035,0.001818276010453701,0.00035259220749139786
1.62694304890465e-05,2.190462328144349e-05,2.9540353352786042e-05,2.4782944819889963e-05,1.9610532035585493e-05,0.00043221950181759894,8.876743959262967e-05,3.612254886320443e-06,3.237204873585142e-05,3.0706334655405954e-05,2.3126818632590584e-05,0.0005133072845637798,9.926485290634446e-06,1.7918844605446793e-05,1.1552991054486483e-05,6.595250852114987e-06,4.3584044760791585e-05,0.00015146714576985687,6.459434371208772e-05,1.9086719476035796e-05,5.0869555707322434e-05,2.1056333935121074e-05,0.00016426239744760096,1.2964236702828202e-05,0.0002163203462259844,0.0001377536973450333,0.0007852394483052194,0.00012080749002052471,0.00024398039386142045,2.1362235202104785e-05,5.132396381668514e-06,4.59158491139533e-06,0.00017846953414846212,7.807228939782362e-06,9.327790758106858e-05,2.6105228243977763e-05,5.704764407710172e-05,6.22075458522886e-06,5.8044774959853385e-06,8.925352449296042e-05,0.00020971689082216471,1.7917640434461646e-05,6.672999461443396e-06,2.148963403669768e-06,2.5616441234888043e-06,3.398409262445057e-06,0.0001681547873886302,0.00013978527567815036,2.9888956305512693e-06,5.439248070615577e-06,0.0002934869553428143,0.0006680057267658412,0.0003709709853865206,0.00035492703318595886,6.870833021821454e-05,0.0002794890897348523,2.731673475864227e-06,4.360075399745256e-05,2.6419445475767134e-06,0.0019348438363522291,0.0006116165895946324,0.0003723300760611892,2.6375273591838777e-06,0.0001400923792971298,0.0006480395677499473,0.0004930843715555966,0.00022885021462570876,6.1154901231930126e-06,9.229742863681167e-05,0.0003737433289643377,0.00037192407762631774,0.0005030968459323049,0.0006698903162032366,0.0002621277526486665,5.4947366152191535e-05,0.0007479077321477234,0.0001796558208297938,0.0009740227833390236,1.1853540854644962e-05,9.19295780477114e-05,3.7147045077290386e-05,8.66048412717646e-06,0.00038567068986594677,0.0006854959647171199,0.0009073578985407948,0.0011974434601143003,3.232976087019779e-05,0.00046674968325532973,0.0011901984689757228,0.0007560134399682283,0.0015785244759172201,0.0011922124540433288,0.0006472336244769394,0.000436996080679819,0.001351699000224471,0.0002564084716141224,0.0005748450057581067,0.0001604201243026182,0.002245537471026182,0.0004179719544481486
