0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1705406421924636e-07,2.11531457239289e-07,5.186978455640201e-07,2.9029720849393925e-07,1.4003471449086646e-07,8.260451977548655e-06,8.021410735636891e-07,4.950360832367551e-08,3.3093397178163286e-07,7.136058570722525e-07,3.420162784095737e-07,1.3302238585310988e-05,1.1624217677308479e-07,2.657833704233781e-07,1.429294513854984e-07,8.325953615440085e-08,4.0244532328870264e-07,1.1533326187418425e-06,5.563184686252498e-07,2.1270712124987767e-07,4.860145850216213e-07,2.1900245883443858e-07,1.2381010492390487e-06,1.2113038394545583e-07,2.1180642306717345e-06,1.1873049743371666e-06,7.050739441183396e-06,8.0936825952449e-07,3.719222604559036e-06,2.309326987415261e-07,3.7499614080616084e-08,4.397860564608891e-08,3.0249943847593386e-06,6.849722922197543e-08,1.930954795170692e-06,5.345179943105904e-07,4.34135984050954e-07,6.907984584358928e-08,4.594890512521488e-08,6.865899422336952e-07,2.5484337129455525e-06,1.5134965281049517e-07,6.565307586470226e-08,3.084448252366201e-08,3.3673845933890334e-08,4.548613929955536e-08,1.5888434745647828e-06,1.5503220538448659e-06,2.980675262165278e-08,5.5253984498904174e-08,5.63643288842286e-06,7.801755600667093e-06,6.94572736392729e-06,2.811435251715011e-06,7.176909662121034e-07,1.9629694634204498e-06,3.4685008643009496e-08,1.396176799062232e-06,2.8812435104441647e-08,2.6364727091277018e-05,9.512896212982014e-06,2.4698260858713184e-06,3.315384944357902e-08,1.7816209947341122e-06,7.489858035114594e-06,7.396297860395862e-06,3.97695112042129e-06,1.0765435121129485e-07,5.516230885405093e-07,4.034510311612394e-06,5.484714620251907e-06,7.89244586485438e-06,6.312593086477136e-06,6.282972208282445e-06,5.800580993309268e-07,1.0528221537242644e-05,3.5757200294028735e-06,2.468280217726715e-05,2.1185094567499618e-07,6.021807053002703e-07,3.721515327015368e-07,8.107711835236842e-08,1.012546090350952e-05,5.594555659627076e-06,6.22483776169247e-06,4.4799631723435596e-05,3.582615306640946e-07,1.8418573745293543e-05,1.7585196474101394e-05,1.1370114407327492e-05,6.141691119410098e-05,4.271588841220364e-05,1.4825109246885404e-05,8.426125532423612e-06,1.637072091398295e-05,1.4671783219455392e-06,1.593589513504412e-05,3.3932160476979334e-06,3.0643022910226136e-05,7.637561793671921e-06
4.626992335943214e-07,8.378098073080764e-07,2.0443023913685465e-06,1.1218585314054508e-06,5.476893534250848e-07,2.830933954101056e-05,3.1646850402466953e-06,1.9428479447469726e-07,1.3059493539913092e-06,2.8009155812469544e-06,1.347889792668866e-06,4.730239379568957e-05,4.6246174179032096e-07,1.0449654155308963e-06,5.674601766259002e-07,3.313867296128592e-07,1.5768907815072453e-06,4.386528416944202e-06,2.14273154597322e-06,8.328911462740507e-07,1.878717853287526e-06,8.673447950968693e-07,4.696371888712747e-06,4.7663181135249033e-07,8.097514182736631e-06,4.390884896565694e-06,2.54819642577786e-05,3.063558096982888e-06,1.4803774320171215e-05,9.190502510136866e-07,1.4811149640081567e-07,1.7512384431483952e-07,1.1581500075408258e-05,2.7320007234266086e-07,7.461116183549166e-06,2.00686622520152e-06,1.6806512803668738e-06,2.732958250817319e-07,1.79786340481769e-07,2.630278459037072e-06,9.078337825485505e-06,6.028283792147704e-07,2.6025381316685525e-07,1.214991414144606e-07,1.3305744062108715e-07,1.8004271851168596e-07,6.111361926741665e-06,5.620731371891452e-06,1.18287111661175e-07,2.1850549103419326e-07,2.0646379198296927e-05,2.8369357096380554e-05,2.5331193683086894e-05,1.0552686035225634e-05,2.751975671344553e-06,7.70574297348503e-06,1.3735247250679095e-07,5.27485690327012e-06,1.1472417327240692e-07,8.095562225207686e-05,2.9780863769701682e-05,9.308827429777011e-06,1.3142546606559335e-07,7.017837106104707e-06,2.753308945102617e-05,2.194177250203211e-05,1.5307588910218328e-05,4.225367717936024e-07,2.0921165742038283e-06,1.3634222341352142e-05,2.2361709852702916e-05,2.6427986085764132e-05,2.018448503804393e-05,2.1814872525283135e-05,2.18902891901962e-06,3.682521855807863e-05,1.3090368156554177e-05,8.81893647601828e-05,8.272449463220255e-07,2.329919198018615e-06,1.453183585908846e-06,3.2261374371955753e-07,4.020114283775911e-05,1.7926586224348284e-05,2.047338057309389e-05,0.00017386717081535608,1.3759445209871046e-06,6.598842446692288e-05,7.250878115883097e-05,4.5151296944823116e-05,0.0002488636819180101,0.00013548498100135475,5.722188507206738e-05,2.9025908588664606e-05,5.0238337280461565e-05,5.6477651924069505e-06,5.855779454577714e-05,1.2995757060707547e-05,0.00011501521657919511,2.9378456019912846e-05
1.0291537364537362e-06,1.8552565279605915e-06,4.533445007837145e-06,2.436555405438412e-06,1.2047502195855486e-06,5.547351247514598e-05,7.0448245423904154e-06,4.289588559913682e-07,2.901191010096227e-06,6.176675015012734e-06,2.9831480787834153e-06,9.244607645086944e-05,1.034696765600529e-06,2.311343223482254e-06,1.2669726174863172e-06,7.418402674375102e-07,3.4657498417800525e-06,9.510437848803122e-06,4.606049060384976e-06,1.8327123143535573e-06,4.078726306033786e-06,1.933380872287671e-06,1.0076732905872632e-05,1.0550867273195763e-06,1.7423230019630864e-05,9.105571734835394e-06,5.5022595915943384e-05,6.561299869645154e-06,3.261901656514965e-05,2.049484919552924e-06,3.29095172446614e-07,3.9222223335855233e-07,2.4728502467041835e-05,6.126221592239744e-07,1.6219924873439595e-05,4.27311033490696e-06,3.6389178603712935e-06,6.081343713049137e-07,3.9592052303305536e-07,5.61803699383745e-06,1.7695227143121883e-05,1.3493503274730756e-06,5.800876579087344e-07,2.6898121063823055e-07,2.9545881830017606e-07,4.010655061392754e-07,1.305871319345897e-05,1.1579810234252363e-05,2.640512946072704e-07,4.860465310230211e-07,4.304034519009292e-05,5.9096655604662374e-05,5.1443217671476305e-05,2.153264904336538e-05,5.911826974625001e-06,1.72511408891296e-05,3.0582145882362965e-07,1.1267276022408623e-05,2.569089474491193e-07,0.00014636400737799704,5.2561197662726045e-05,1.994432750507258e-05,2.9321154215722345e-07,1.532172791485209e-05,5.579652497544885e-05,3.695472696563229e-05,3.301951801404357e-05,9.28077383832715e-07,4.487811111175688e-06,2.66173137788428e-05,5.10191275679972e-05,5.105506716063246e-05,3.64641600754112e-05,4.253565930412151e-05,4.623651420843089e-06,6.955429125810042e-05,2.627052708703559e-05,0.000180175164132379,1.8016978629020741e-06,5.101664555695606e-06,3.1871406918071443e-06,7.22050174317701e-07,8.917546801967546e-05,3.3977012208197266e-05,4.182423435850069e-05,0.0003728233859874308,2.945906317108893e-06,0.00013494925224222243,0.00016989654977805912,0.00010940656648017466,0.0005440317327156663,0.0002479463873896748,0.00012593647988978773,5.5645505199208856e-05,0.00011328509572194889,1.1622851161519065e-05,0.00012260375660844147,2.79664782283362e-05,0.00024854534422047436,6.29986243438907e-05
1.808804199754377e-06,3.2334114621335175e-06,7.944132448756136e-06,4.179895768174902e-06,2.0948750716343056e-06,8.658823207952082e-05,1.2317143045947887e-05,7.487935249628208e-07,5.091039383842144e-06,1.0764999387902208e-05,5.204964963922976e-06,0.0001412203855579719,1.8291608512299717e-06,4.039301984448684e-06,2.2343415366776753e-06,1.3121255051373737e-06,6.02503860136494e-06,1.6349511497537605e-05,7.817399819032289e-06,3.180283329129452e-06,6.986076641624095e-06,3.4033307656500256e-06,1.7191014194395393e-05,1.840957679632993e-06,2.916237099270802e-05,1.480204355175374e-05,9.839557606028393e-05,1.112752033805009e-05,5.4945263400441036e-05,3.6054063912160927e-06,5.778090894636989e-07,6.94137327172939e-07,4.129822991671972e-05,1.0849134923773818e-06,2.7844744181493297e-05,7.243081654451089e-06,6.213702818058664e-06,1.069389213625982e-06,6.893316140121897e-07,9.472802958043758e-06,2.7504403988132253e-05,2.3832180886529386e-06,1.0212642109763692e-06,4.698188433849282e-07,5.178972060093656e-07,7.059802555886563e-07,2.2167998395161703e-05,1.8898595953942277e-05,4.6570383460675657e-07,8.54271831940423e-07,6.982348713790998e-05,9.655992471380159e-05,8.210116357076913e-05,3.5065520933130756e-05,1.0022004062193446e-05,3.085623393417336e-05,5.378568630476366e-07,1.9112865629722364e-05,4.5452171093529614e-07,0.00020905605924781412,7.407770317513496e-05,3.426520197535865e-05,5.172005899112264e-07,2.612734715512488e-05,9.036324627231807e-05,5.4726318921893835e-05,5.84161862207111e-05,1.6027546507757506e-06,7.727210686425678e-06,4.3873427785001695e-05,9.148129174718633e-05,7.703579467488453e-05,5.4471398470923305e-05,6.44427418592386e-05,7.668872058275156e-06,0.00010081401705974713,4.205489676678553e-05,0.00028844064217992127,3.0701437481184257e-06,8.721156518731732e-06,5.521104412764544e-06,1.2765837027473026e-06,0.0001539522927487269,5.4545525927096605e-05,7.395129068754613e-05,0.0006179960910230875,5.058217084297212e-06,0.00021231525170151144,0.00030930916545912623,0.00022199620434548706,0.0008897336083464324,0.00035415583988651633,0.00021753570763394237,8.47033443278633e-05,0.00021695283066947013,2.2189569790498354e-05,0.00020400197536218911,4.757896749651991e-05,0.0004363461921457201,0.00010773001122288406
2.793945895973593e-06,4.9501750254421495e-06,1.2240241630934179e-05,6.302296242211014e-06,3.2036682569014374e-06,0.00011874103074660525,1.8894361346610822e-05,1.1491118812045897e-06,7.858663593651727e-06,1.6495951058459468e-05,7.974281288625207e-06,0.0001884196826722473,2.842059302565758e-06,6.204400960996281e-06,3.461984306341037e-06,2.039796981989639e-06,9.225313078786712e-06,2.476884219504427e-05,1.1670611456793267e-05,4.84299607705907e-06,1.0526464393478818e-05,5.26025223734905e-06,2.556631079642102e-05,2.816934966176632e-06,4.258654735167511e-05,2.104006489389576e-05,0.00015949498629197478,1.637776949792169e-05,8.068833994911984e-05,5.569514087255811e-06,8.917880904846243e-07,1.079388425750949e-06,6.13025767961517e-05,1.6876215340744238e-06,4.208677637507208e-05,1.0851508704945445e-05,9.324794518761337e-06,1.6526327044630307e-06,1.0556008191997535e-06,1.4152704352454748e-05,3.789248876273632e-05,3.693495727929985e-06,1.5799892025825102e-06,7.208371926026302e-07,7.971556783559208e-07,1.0923179161181906e-06,3.3339940273435786e-05,2.769406455627177e-05,7.218508244477562e-07,1.3197834505263017e-06,0.00010071200085803866,0.00014116651436779648,0.00011428492143750191,5.2084393246332183e-05,1.4897656001267023e-05,4.889606134383939e-05,8.312615591421491e-07,2.8664033379754983e-05,7.065874001455086e-07,0.0002717538445722312,9.504657646175474e-05,5.270092515274882e-05,8.021741564334661e-07,3.870483851642348e-05,0.00012890607467852533,7.69832986406982e-05,9.047921776073053e-05,2.4214045879489277e-06,1.1767035175580531e-05,6.686441338388249e-05,0.00014267665392253548,0.00010717971599660814,7.305172766791657e-05,8.501730189891532e-05,1.118762793339556e-05,0.0001254807284567505,5.957987013971433e-05,0.00040667003486305475,4.54875544164679e-06,1.3140809642209206e-05,8.419610821874812e-06,1.983568154173554e-06,0.00022761303989682347,7.974330947035924e-05,0.00012611702550202608,0.0008673756965436041,7.716540494584478e-06,0.00028549134731292725,0.0004874433216173202,0.00039749027928337455,0.0012162459315732121,0.00043991170241497457,0.0003287240688223392,0.00011463248665677384,0.0003768770257011056,3.708828808157705e-05,0.0002947036409750581,7.104638643795624e-05,0.0006639051134698093,0.0001632485946174711
3.976618700107792e-06,6.986734661040828e-06,1.7388112610206008e-05,8.761554454395082e-06,4.517731213127263e-06,0.00015161943156272173,2.663149825821165e-05,1.6256449271168094e-06,1.119502485380508e-05,2.3315173166338354e-05,1.1253944649070036e-05,0.00023296645667869598,4.070253908139421e-06,8.782546501606703e-06,4.941896804666612e-06,2.9219095267762896e-06,1.3025077350903302e-05,3.4674078051466495e-05,1.6074091035989113e-05,6.797278729209211e-06,1.4651509445684496e-05,7.487258244509576e-06,3.5043067327933386e-05,3.9662163544562645e-06,5.742769644712098e-05,2.771363506326452e-05,0.0002391449233982712,2.200801100116223e-05,0.00011018358782166615,7.929716048238333e-06,1.2684165540122194e-06,1.546517523820512e-06,8.42570880195126e-05,2.4179591946449364e-06,5.870401582797058e-05,1.5029148016765248e-05,1.2923513168061618e-05,2.3535681066277903e-06,1.490840872975241e-06,1.9558927306206897e-05,4.865215305471793e-05,5.2676364248327445e-06,2.2529652596858796e-06,1.0189778549829498e-06,1.1298948265903164e-06,1.5574022427244927e-06,4.634952711057849e-05,3.837231270154007e-05,1.0310852758266265e-06,1.8794311245073914e-06,0.00013260434207040817,0.00018801358237396926,0.00014680554158985615,7.171852485043928e-05,2.0422416127985343e-05,7.137223292374983e-05,1.183669041893154e-06,3.983396163675934e-05,1.0121375453309156e-06,0.00032949051819741726,0.00011455360072432086,7.53838976379484e-05,1.1472482128738193e-06,5.228833106230013e-05,0.00017101026605814695,0.00010861468763323501,0.0001293483655899763,3.35641243509599e-06,1.6630436221021228e-05,9.62440826697275e-05,0.00020328663231339306,0.00013832008698955178,9.146488446276635e-05,0.00010357904102420434,1.507879096607212e-05,0.0001424367947038263,7.910974090918899e-05,0.0005245509673841298,6.140683126432123e-06,1.8472088413545862e-05,1.1815654943347909e-05,2.8404590466379886e-06,0.000303770590107888,0.0001119537846534513,0.0002035622310359031,0.0010831326944753528,1.0919888154603541e-05,0.0003426609036978334,0.0006975577562116086,0.0006329281604848802,0.0014599283458665013,0.0004995224880985916,0.00045082991709932685,0.00014586439647246152,0.0006059705629013479,5.648923252010718e-05,0.00039067870238795877,9.6832838607952e-05,0.0009172223508358002,0.00022812378301750869
5.350366791390115e-06,9.315116585639771e-06,2.3342730855802074e-05,1.1522422937559895e-05,6.025021775712958e-06,0.00018249753338750452,3.532875416567549e-05,2.175103418267099e-06,1.507096840214217e-05,3.1163286621449515e-05,1.5012113181001041e-05,0.00026698719011619687,5.509883067134069e-06,1.175282977783354e-05,6.6658808464126196e-06,3.954689873353345e-06,1.740542211337015e-05,4.586322756949812e-05,2.0946858057868667e-05,9.02391184354201e-06,1.928326855704654e-05,1.0071743417938706e-05,4.5593129470944405e-05,5.273409897199599e-06,7.393521082121879e-05,3.4911950933746994e-05,0.0003396670217625797,2.8130822101957165e-05,0.00014294574793893844,1.0654395737219602e-05,1.70513692410168e-06,2.094213414238766e-06,0.00010900190682150424,3.2725531582400436e-06,7.750623626634479e-05,1.9731553038582206e-05,1.693872400210239e-05,3.167343720633653e-06,1.991548288060585e-06,2.5650821044109762e-05,5.988561315461993e-05,7.090468443493592e-06,3.0363119094545254e-06,1.3614910585602047e-06,1.5126412336030626e-06,2.098676532114041e-06,6.110468530096114e-05,5.091306229587644e-05,1.3920466699346434e-06,2.5300985271314858e-06,0.00016541362856514752,0.00023603533918503672,0.00017659358854871243,9.374244837090373e-05,2.6570525733404793e-05,9.797485108720139e-05,1.5926015066725085e-06,5.256303120404482e-05,1.3702052683584043e-06,0.000394404458347708,0.00013462976494338363,0.00010193148773396388,1.5518107829848304e-06,6.626376125495881e-05,0.00021674559684470296,0.00015432454529218376,0.00017334794392809272,4.3790928430098575e-06,2.234338353446219e-05,0.00013394455891102552,0.00026994076324626803,0.00016927655087783933,0.00011589183122850955,0.00011859224468935281,1.9332232113811187e-05,0.00015438102127518505,9.982990741264075e-05,0.0006338555249385536,7.74309864937095e-06,2.4745020709815435e-05,1.5637342585250735e-05,3.844613729597768e-06,0.0003747983428183943,0.00015400134725496173,0.0003158526960760355,0.0012381471460685134,1.4623410606873222e-05,0.00037794720265083015,0.0009235956822521985,0.000919333309866488,0.001599249430000782,0.0005414293264038861,0.00057907187147066,0.00017610668146517128,0.0009184555383399129,7.724840543232858e-05,0.0004827090597245842,0.0001248156768269837,0.0011825100518763065,0.0003025057085324079
6.907279839651892e-06,1.1921630175493192e-05,3.0050729037611745e-05,1.4552942047885153e-05,7.7133199738455e-06,0.00021139216551091522,4.483121301745996e-05,2.794962028929149e-06,1.9441378753981553e-05,3.999071486759931e-05,1.9224422430852428e-05,0.00028831043164245784,7.156611900427379e-06,1.5097010873432737e-05,8.626959242974408e-06,5.134362709213747e-06,2.2338803319144063e-05,5.813949246658012e-05,2.6274095944245346e-05,1.1501620065246243e-05,2.428763036732562e-05,1.299715404456947e-05,5.714736835216172e-05,6.720760211464949e-06,9.164711809717119e-05,4.265173993189819e-05,0.00046175392344594,3.461288724793121e-05,0.00017770157137420028,1.3700696399610024e-05,2.199695018134662e-06,2.721311147979577e-06,0.0001339229493169114,4.247839569870848e-06,9.830011549638584e-05,2.4904704332584515e-05,2.133863563358318e-05,4.09009589930065e-06,2.55468057730468e-06,3.2338808523491025e-05,7.069966522976756e-05,9.14365955395624e-06,3.926686531485757e-06,1.7458510228607338e-06,1.9419635464146268e-06,2.71388967121311e-06,7.755644764984027e-05,6.591821875190362e-05,1.803393956834043e-06,3.2685682072042255e-06,0.00019810117373708636,0.0002834224724210799,0.00020220443548168987,0.00011960502160945907,3.3263309887843207e-05,0.00012769778550136834,2.055680170087726e-06,6.679772195639089e-05,1.779802914825268e-06,0.0004980875528417528,0.00016269696061499417,0.00013165597920306027,2.015335667238105e-06,8.005574636626989e-05,0.0002642317267600447,0.00021958380239084363,0.0002212851250078529,5.460285592562286e-06,2.884831337723881e-05,0.00017928797751665115,0.00033973416429944336,0.00020226331253070384,0.00014617940178140998,0.00013023671635892242,2.397539901721757e-05,0.00016461774066556245,0.00012160146434325725,0.0007264103624038398,9.256084922526497e-06,3.1646861316403374e-05,1.9850212993333116e-05,4.994191385776503e-06,0.0004370837123133242,0.00020816925098188221,0.00046934097190387547,0.0013163042021915317,1.8790309695759788e-05,0.0003887173952534795,0.0011441195383667946,0.0012313327752053738,0.0016134048346430063,0.000587615417316556,0.0007058100891299546,0.00020681216847151518,0.0013275956735014915,9.721022797748446e-05,0.0005655178101733327,0.00015420162526424974,0.001447230577468872,0.00038470368599519134
8.637526661914308e-06,1.4766286767553538e-05,3.7456167774507776e-05,1.7828637282946147e-05,9.57078009378165e-06,0.00023800999042578042,5.4883155826246366e-05,3.482830607026699e-06,2.4292599846376106e-05,4.976601849193685e-05,2.3867212803452276e-05,0.0003009008360095322,9.006776053865906e-06,1.8799464669427834e-05,1.0816769645316526e-05,6.457365543610649e-06,2.7754522307077423e-05,7.144797564251348e-05,3.198810009052977e-05,1.4215594092092942e-05,2.9602037102449685e-05,1.6241468983935192e-05,6.926932837814093e-05,8.292841812362894e-06,0.00010992753959726542,5.124937524669804e-05,0.000604257162194699,4.134545088163577e-05,0.00021272081357892603,1.703263660601806e-05,2.7500614123709965e-06,3.4265628983121132e-06,0.0001585764839546755,5.338874416338513e-06,0.00012090293603250757,3.0506556868203916e-05,2.6150546545977704e-05,5.11747657583328e-06,3.1767813197802752e-06,3.944271884392947e-05,8.181067823898047e-05,1.1409218132030219e-05,4.921143045066856e-06,2.1697603642678587e-06,2.4144032977346797e-06,3.401030653549242e-06,9.571294503984973e-05,8.346802496816963e-05,2.263760279674898e-06,4.092020844836952e-06,0.00022800655278842896,0.0003302875265944749,0.00022298718977253884,0.00015017861733213067,4.043079024995677e-05,0.00015969078231137246,2.5706260657898383e-06,8.246797369793057e-05,2.239895593447727e-06,0.0006171900895424187,0.00020396143372636288,0.00016491260612383485,2.53783150583331e-06,9.322255937149748e-05,0.0003151462587993592,0.0003068125224672258,0.0002723235811572522,6.573656719410792e-06,3.6146764614386484e-05,0.0002356951154069975,0.0004087307024747133,0.00023329326359089464,0.00018583289056550711,0.00014005691627971828,2.910045259341132e-05,0.00018249837739858776,0.00014333042781800032,0.0007960543734952807,1.0592263606667984e-05,3.924375414499082e-05,2.4392955310759135e-05,6.287985797825968e-06,0.0004830912803299725,0.00027682248037308455,0.0006704690167680383,0.0013197008520364761,2.3397944460157305e-05,0.0003820874262601137,0.0013392649125307798,0.001533024595119059,0.0015232698060572147,0.0006563481874763966,0.0008232727413997054,0.00023993532522581518,0.0018264581449329853,0.00011264223576290533,0.0006336669321171939,0.00018427713075652719,0.0016885310178622603,0.0004705610917881131
